# Per-dataset form parse rates, recorded from a deliberate regeneration.
#
# A form counts as parsed only if every one of its segments is recognized,
# which is the condition an actual pipeline faces. This cannot be recomputed
# from bench/corpus/lexibank-segments.tsv: whether a form parses depends on
# which segments co-occur in it. System: distinctive.
#
# Regenerate with: bench/bench_coverage.py --regenerate <lexibank-dir>

# 152 datasets; 1 below 3% of forms parsed.

DATASET                           FORMS   %FORMS  %TOKENS
seifartecheverriboran              1364   100.0%   100.0%
servamalagasy                     12420   100.0%   100.0%
sohartmannchin                     2171   100.0%   100.0%
starostinkaren                     1055   100.0%   100.0%
starostintujia                      513   100.0%   100.0%
streitberggothic                    659   100.0%   100.0%
suntb                             50434   100.0%   100.0%
syrjaenenuralic                    1401   100.0%   100.0%
tls                              115642   100.0%   100.0%
tolmiebritishcolumbia              4760   100.0%   100.0%
transnewguineaorg                148777   100.0%   100.0%
triangulation                     25807   100.0%   100.0%
utoaztecan                         5813   100.0%   100.0%
visserkalamang                     1179   100.0%   100.0%
walworthpolynesian                 7518   100.0%   100.0%
wangbai                            4429   100.0%   100.0%
wheelerutoaztecan                  4728   100.0%   100.0%
wichmannmixezoquean                1106   100.0%   100.0%
wold                              64289   100.0%   100.0%
yanglalo                           7798   100.0%   100.0%
zgraggenmadang                    34285   100.0%   100.0%
zhangrgyalrong                      603   100.0%   100.0%
zhaobai                             209   100.0%   100.0%
zhivlovobugrian                    2055   100.0%   100.0%
zhoubizic                          1966   100.0%   100.0%
