GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
k͡pʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
k͡pʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	+	+	.	-	-
k	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	+	-	-	.	-	-
l	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
lǃ	-	-	+	-	-	+	-	+	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
lɥ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	+	+	-	-	-
lʰ	-	+	+	+	-	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
lʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
lʷ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
lʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
lː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
lˠ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
lˠʷ	-	+	+	+	-	+	-	+	-	-	-	-	n	+	-	+	+	+	+	+	-	-	-
lˤ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
l̃	-	+	+	+	-	+	-	+	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
l̟	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̟ʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
l̤	-	+	+	+	-	+	-	+	-	-	+	.	n	-	-	+	+	-	-	-	-	-	-
l̥	-	-	+	+	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̥ʰ	-	-	+	+	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
l̩	+	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
l̪	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
l̪ʰ	-	+	+	+	-	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
l̪ʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
l̪ʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
l̪ː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
l̪ˤ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
l̪ˤː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
l̪θ	-	.	+	.	-	.	-	+	-	.	-	.	n	-	-	+	+	-	-	-	+	-	-
m	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m<	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mb̥	-	-	+	-	-	-	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mnl	-	-	+	+	-	+	-	+	+	-	-	-	n	.	.	+	.	.	-	.	.	-	-
mǀG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
mǁG	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
mǂG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
mǃG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
mʘG	-	-	+	-	-	-	-	n	+	-	-	n	n	+	-	+	-	+	-	+	+	-	-
mʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
mʲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	-	-	+	+	-	-
mʷ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	+	+	+	-	-
mʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
mː	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	+	-
mˠ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	+	-	-
mˡ	-	-	+	+	-	+	-	+	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mˤ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	+	+	-	+	-	+	+	-	-
m̂	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m̏	-	-	+	+	-	+	-	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
m̤	-	-	+	+	-	+	-	n	+	-	+	.	n	-	-	+	-	-	-	+	+	-	-
m̥	-	-	+	+	-	-	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
m̩	+	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m͡ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	.	-	.	-	.	-	.	.	-	-
mβ	-	-	+	.	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
n	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
nd̥	-	-	+	-	-	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ngǀ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
ngǁ	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
ngǂ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
ngǃ	-	-	+	-	-	+	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
nkǀ	-	-	+	-	-	-	-	-	.	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nkǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
nzʷ	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	+	+	-	-	-
nð	-	-	+	-	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
nŋw	-	-	+	+	-	+	-	-	+	-	-	-	n	.	-	+	.	.	+	.	.	-	-
nǀ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
nǁ	-	-	+	-	-	-	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
nǂ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
nǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
nʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	-	-	+	+	-	-	-	.	-	-
nʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
nʷ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	+	+	-	-	-
nʼ	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
nː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	+	-
nˤ	-	-	+	+	-	+	-	-	+	-	-	-	n	-	+	+	+	+	-	-	-	-	-
nˤː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	+	+	+	+	-	-	-	+	-
n̂	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̏	-	-	+	+	-	+	-	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
n̞	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̞s̞	-	-	+	-	+	-	-	-	+	+	-	.	n	-	-	+	+	-	-	-	-	-	-
n̟	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̟ʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	-	-	-
n̤	-	-	+	+	-	+	-	-	+	-	+	.	n	-	-	+	+	-	-	-	-	-	-
n̥	-	-	+	+	-	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̥s	-	-	+	-	+	-	-	-	.	+	-	.	n	-	-	+	+	-	-	-	-	-	-
n̩	+	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̪	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
n̪t̪	-	-	+	-	-	-	-	-	+	-	-	.	n	-	-	+	+	-	-	-	+	-	-
n̪t̪ʼ	-	-	+	-	-	-	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
n̪z̪	-	-	+	-	+	+	-	-	+	+	-	-	n	-	-	+	+	-	-	-	+	-	-
n̪ʰ	-	-	+	+	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	+	-	-
n̪ʲ	-	-	+	+	-	+	-	-	+	-	-	-	n	+	-	+	+	-	-	-	+	-	-
n̪ʼ	-	-	+	+	-	+	+	-	+	-	-	+	n	-	-	+	+	-	-	-	+	-	-
n̪ː	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	+	-
n̻	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
o	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
oi	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	+	+	n	+	-
oj	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
omf	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ou	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
oə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	.	-	n	+	-
oʊ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
oʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
oʔo	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
oː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	-
oːː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	+
oˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	+	+	n	-	-
õ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
õː	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	+	-
õˤ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	+	-	-	+	+	+	n	-	-
õⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
ŏ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	+
o̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	-	-
o̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	+	+	n	+	-
õ̝	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	+	+	+	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	.	.	-	-	-	-	+	+	+	n	-	-
o̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̤ʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̤ː	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	+	-
o̤ˤ	+	+	-	+	+	+	-	n	-	-	+	+	+	-	+	-	-	+	+	+	n	-	-
õ̤	+	+	-	+	+	+	-	n	+	-	+	+	+	-	-	-	-	+	+	+	n	-	-
õ̤ʔ	+	+	-	+	+	+	+	n	+	-	+	+	+	-	-	-	-	+	+	+	n	-	-
õ̤ˤ	+	+	-	+	+	+	-	n	+	-	+	+	+	-	+	-	-	+	+	+	n	-	-
o̥	+	-	-	+	+	-	-	n	-	-	+	+	+	-	-	-	-	+	+	+	n	-	-
o̯	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	+	-	+	-	+	.	-	-
o̯a	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	+	.	-	n	+	-
o̯u	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	+	+	n	+	-
p	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
p*	-	-	+	-	-	-	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
p<	-	-	+	-	-	-	-	n	-	-	-	n	n	-	-	+	-	-	-	+	+	-	-
pf	-	-	+	-	-	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
pfʰ	-	-	+	-	-	-	-	n	-	+	+	+	n	-	-	+	-	-	-	+	-	-	-
ps	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
pv	-	-	+	-	-	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
pɦ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pɸ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pʃʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	.	-	-	.	-	-	-	+	-	-
pʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	.	-	-	.	-	-	-	+	-	-
pʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	+	-	-	-	+	+	-	-
pʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	+	-	-	+	+	+	-	-
pʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
pʲʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	-	-	+	+	-	-
pʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
pʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	+	+	+	-	-
pʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
pʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	+	-	+	-	+	+	-	-
pː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	+	-
pˠ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	+	-	-
pˡ	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
pˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	+	+	-	+	-	+	+	-	-
p̀	-	-	+	-	-	-	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
p͡k	-	-	+	-	-	-	-	n	-	-	-	.	n	.	-	.	-	.	-	.	.	-	-
p͡kʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	+	-	+	-	+	.	-	-
p͡t	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
p͡ts	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
p	-	-	+	-	-	-	-	n	+	-	-	.	n	-	-	+	-	-	-	+	+	-	-
q	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
qɰ	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
qʔ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	+	-	-	.	-	-
qʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	-	-	+	-	-	.	-	-
qʰʷ	-	-	+	-	-	-	-	n	-	-	+	+	n	-	-	-	-	+	+	+	.	-	-
qʲ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
qʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	-	-
qʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʷː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	+	+	.	+	-
qʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	-	-	.	-	-
qʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
qʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	-	-	-	+	+	+	.	-	-
qʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qʼˤʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
qː	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	+	-
qˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	+	-	-	+	-	-	.	-	-
qˤʷ	-	-	+	-	-	-	-	n	-	-	-	+	n	-	+	-	-	+	+	+	.	-	-
qˤʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	-	+	-	-	+	-	-	.	-	-
qχ	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	-	-	+	-	-	.	-	-
r	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
rʰ	-	+	+	+	+	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
rʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
rʷ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
rʼ	-	+	+	+	+	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
rː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
rˤ	-	+	+	+	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
rˤː	-	+	+	+	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	+	-
r̃	-	+	+	+	+	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
ř	-	+	+	+	+	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
r̟	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
r̟ʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
r̥	-	-	+	+	+	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
r̥ʰ	-	-	+	+	+	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
r̪	-	+	+	+	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
r̪ʲ	-	+	+	+	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
r͡ɣw	-	.	+	.	-	+	-	-	-	+	-	.	n	.	-	+	.	.	+	.	.	-	-
s	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
sɥ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	+	+	-	-	-
sʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
sʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
sʷ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
sʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
sː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	+	-
sˠ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	+	-	-	-	-	-
sˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	-	-	-
s̀	-	-	+	-	+	-	-	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
š	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
s̞	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
s̪	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
s̪v	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
s̪ʲ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
s̪ʼ	-	-	+	-	+	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	+	-	-
s̪ː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	+	-
s̪ˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
s̪ˤː	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	+	-
s̻	-	-	+	-	+	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
s̻ˤ	-	-	+	-	+	-	-	-	-	+	-	.	n	-	+	+	+	+	-	-	+	-	-
s͡kʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	+	.	.	+	+	.	-	-
t	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
tç	-	-	+	-	-	-	-	-	-	-	-	.	n	.	-	-	.	-	-	-	.	-	-
tçʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	.	-	-	.	-	-	-	.	-	-
tl	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
tlʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
tlʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tr	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ts	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
tsjʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	+	+	-	-	-	-	-	-
tswʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	-	-	-
tsx	-	-	+	-	-	-	-	-	-	.	-	.	n	.	.	+	.	.	-	-	.	-	-
tsʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
tsʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	-	-	+	+	-	+	+	-	-	-
tsʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
tsʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
tsʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
tsʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tsʼʷ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	+	+	-	-	-
ts̀	-	-	+	-	-	-	-	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
ts͡kʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	.	-	+	.	.	+	+	.	-	-
tx	-	-	+	-	-	-	-	-	-	-	-	.	n	.	.	.	.	.	-	-	.	-	-
tz	-	-	+	-	-	-	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
tzʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
tɕ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tɕɥ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	+	-	+	+	+	-	-
tɕʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
tɦ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
tɬ	-	-	+	-	-	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
tɬʰ	-	-	+	-	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	.	-	-
tɬʼ	-	-	+	-	-	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
tɸʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	.	-	-	.	.	-	-
tʂ	-	-	+	-	-	-	-	.	-	+	-	.	n	.	.	-	+	.	-	-	-	-	-
tʂʼ	-	-	+	-	-	-	+	.	-	+	-	+	n	.	.	-	+	.	-	-	-	-	-
tʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃɦ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃʰ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
tʃʰʷ	-	-	+	-	-	-	-	-	-	+	+	+	n	+	-	-	+	-	+	+	+	-	-
tʃʲ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
tʃʷ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
tʃʷʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	+	+	+	-	-
tʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
tʃˤ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	+	-	+	+	-	-	+	-	-
tʃ̀	-	-	+	-	-	-	-	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
tʃ͡k	-	-	+	+	-	-	-	-	-	+	-	.	n	+	-	-	+	.	-	-	+	-	-
tʃ͡kʷ	-	-	+	-	-	-	-	-	-	.	-	.	n	+	-	-	+	.	+	+	+	-	-
tʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
tʰʷ	-	-	+	-	-	-	-	-	-	-	+	+	n	-	-	+	+	-	+	+	-	-	-
tʲ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
tʲʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	+	+	-	-	-	-	-	-
tʲʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	+	+	-	-	-	-	-	-
tʷ	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
tʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
tʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
tʼʷ	-	-	+	-	-	-	+	-	-	-	-	+	n	-	-	+	+	-	+	+	-	-	-
tː	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	+	-
