GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
b̏	-	-	+	-	-	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
b̥	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
b͡ç	-	-	+	-	-	.	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
b͡d	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
b͡dz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
b͡dʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	.	-	-	-	.	-	-
b͡g	-	-	+	-	-	+	-	n	-	-	-	.	n	.	-	.	-	.	-	.	.	-	-
b͡tʃ	-	-	+	-	-	.	-	-	-	+	-	.	n	.	-	-	.	-	-	-	.	-	-
b͡ɗ	-	-	+	-	-	+	+	-	-	+	-	+	n	-	-	+	.	-	-	.	.	-	-
b͡ʝ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
c	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
cç	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
cçʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
cçʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cɕ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	.	-	-	-	+	-	-
cɕʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	.	-	-	-	+	-	-
cɕʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	.	-	-	-	+	-	-
cʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	.	-	-	-	+	-	-
cʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
cʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
cʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	+	-	-	+	-	-	.	-	-
c̀ɕ	-	-	+	-	-	-	-	-	-	-	-	+	n	+	-	-	.	-	-	-	+	-	-
ç	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
çʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
c	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
d	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
dl	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
dx	-	-	+	-	-	.	-	-	-	-	-	.	n	.	.	.	.	.	-	-	.	-	-
dz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
dzx	-	-	+	-	-	.	-	-	-	.	-	.	n	.	-	+	.	.	-	-	.	-	-
dzɣw	-	-	+	-	-	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
dzʰ	-	-	+	-	-	+	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
dzʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
dzʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
dzʼ	-	-	+	-	-	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
dzʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dð	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
dɣw	-	-	+	-	-	+	-	-	-	-	-	.	n	.	-	.	.	.	+	+	.	-	-
dʐ	-	-	+	-	-	+	-	.	-	+	-	.	n	.	.	-	+	.	-	-	-	-	-
dʑ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
dʑɥ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
dʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
dʒʰ	-	-	+	-	-	+	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
dʒʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
dʒʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
dʒ͡g	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	.	-	-	+	-	-
dʒ͡ɣʷ	-	-	+	-	-	+	-	-	-	.	-	.	n	+	-	-	+	.	+	+	+	-	-
dʝ	-	-	+	-	-	+	-	-	-	-	-	.	n	.	-	-	.	-	-	-	.	-	-
dʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
dʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
dʷ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
dʼ	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
dʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dːʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
dˠ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
