GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ʼj	.	-	-	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	+	-	+	-	+	-	-	.	-	-	.	-	-	.	-	-
ʼl	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ʼm	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ʼn	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ʼs	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	-	-	-	.	-	-	.	-	-
ʼw	.	-	-	-	-	-	+	+	.	+	-	-	-	-	+	+	-	-	.	.	.	+	+	-	-	+	+	-	-	.	-	-	.	-	-	.	-	-
ʼŋ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	-
ʼŋǀ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	+	-	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	+
ʼŋǃ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	+
ʼɣ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	-
