GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ld	.	-	-	-	-	+	.	.	-	.	-	-	-	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
lɦ	.	-	-	-	-	.	.	+	+	.	-	-	-	.	-	.	.	.	+	-	-	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
lʔ	.	-	-	-	-	+	.	.	-	.	-	-	-	.	-	.	.	.	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	-	-	-
lʱ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
lʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
lʲː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
lʲˑ	.	-	-	+	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
lʷ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
lʷʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	.	+	-	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
lʼ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
lʼː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
lˀ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
lː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
lˑ	.	-	-	+	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
lˠ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
lˤ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
lˤː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
l̃	.	-	-	-	-	+	+	+	.	+	-	-	+	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̟	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̠	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̠ʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	-	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
l̠˞	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	+	+	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̠̤	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	-	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
l̤	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
l̥	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
l̥ʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
l̥ʲː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
l̥ː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
l̥ˠ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	.	+	-	-	-	.	-	-	-	-	-	-	-	-	-	-	-
l̩	.	-	+	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪|l	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪ʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
l̪ʲ|lʲ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
l̪ʷ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	.	+	-	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪ː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪ˠ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
l̪ˠ|lˠ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
l̪ˤ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
l̪ˤ|lˤ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
l̪ˤː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
l̪̊	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
l̪̤	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
l̪̤|l̤	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
l̪̥	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
l̪̥|l̥	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
l̪̩	.	-	+	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̪̰|l̰	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
l̰	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
l̺	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̻	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̻ː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
l̻̰	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
l͈ː	.	-	-	-	+	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
l͉	.	-	-	-	-	+	+	+	.	+	-	-	-	+	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	+	-	-	-
lᶣ	.	-	-	-	-	+	+	+	.	+	-	-	-	+	.	+	-	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
m	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mb	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbv	.	-	-	-	-	+	.	-	+	-	-	-	.	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbz	.	-	-	-	-	+	.	.	.	-	-	-	.	-	.	-	-	.	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
mbʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbː	.	-	-	-	.	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mbˠ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
mp	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
mpf	.	-	-	-	-	+	.	-	+	-	-	-	.	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
mpfʼ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	+	-	.	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
mpɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
mpʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
mpʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	.	-	-	-	-	-	-	-	-
mpʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
mpʼ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
mv	.	-	-	-	-	+	.	.	+	-	-	-	.	-	+	-	.	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mw	.	-	-	-	-	.	+	.	.	.	-	-	.	-	+	.	-	-	.	.	.	.	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
mɓ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	.	-
mɦ	.	-	-	-	-	.	.	.	+	-	-	-	.	-	.	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
mɾ	.	-	-	-	-	+	+	.	.	.	.	-	.	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mʱ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
mʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
mʲː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
mʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mʷː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mʷˠ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
mʷˠː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
mʼ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
mˀ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
mː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mˑ	.	-	-	+	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
mˠ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
mˤ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
mˤː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
m̤	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
m̤b̤	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
m̤b̤v̤	.	-	-	-	-	+	.	-	+	-	-	-	.	-	+	-	.	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
m̤pʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	+	-	-	-	-	-	-
m̤ʱ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
m̥	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
m̥m	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
m̥p	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
m̥ʰ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
m̥ʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
m̥ʲː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
m̥ʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
m̥ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
m̩	.	-	+	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
m̰	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
m̼	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	+	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
m͈ː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
m͉	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	+	-	-	-
n	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nb	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nd	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndl	.	-	-	-	-	+	.	.	-	.	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndr	.	-	-	-	-	+	.	.	-	.	-	.	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndz	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndzʲ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ndzʷ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	.	+	-	+	+	-	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndʑ	.	-	-	-	-	+	.	.	.	-	-	-	.	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ndʲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ndʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ndː	.	-	-	-	.	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nd̪	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nd͇z͇	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ng	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
ngɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	-	.	.	.	+	-	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
nh	.	-	-	-	-	.	.	.	+	-	-	-	.	-	-	.	.	.	+	-	-	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
nl	.	-	-	-	-	+	+	.	.	.	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nr	.	-	-	-	-	+	+	.	.	.	-	.	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ns	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
nsɾ	.	-	-	-	-	+	.	.	+	.	.	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
nsʰ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
nsʷ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	.	+	-	+	+	-	.	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
nt	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
ntlʼ	.	-	-	-	-	+	.	.	-	.	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
nts	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	+	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
ntsʰ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
ntsʼ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ntɕ	.	-	-	-	-	+	.	.	.	-	-	-	.	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	.	-	-	-	-	-	-	-	-
ntɕʰ	.	-	-	-	-	+	.	.	.	-	-	-	.	-	-	.	.	+	+	.	.	.	+	-	+	-	.	-	-	.	-	.	-	-	-	-	-	-
ntɾ	.	-	-	-	-	+	.	.	-	.	.	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
ntʰ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
ntʷ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
ntʼ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
nt͇s͇ʰ	.	-	-	-	-	+	.	-	+	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	.	-	-	-	-	-	-
nz	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nzɾ	.	-	-	-	-	+	.	.	+	.	.	-	.	-	-	.	.	+	+	-	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nzʷ	.	-	-	-	-	+	.	.	+	-	-	-	.	-	.	+	-	+	+	-	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nð	.	-	-	-	-	+	.	.	+	-	-	-	.	-	-	.	.	+	+	.	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nɗ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	.	-
nɟ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	.	.	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
nɦ	.	-	-	-	-	.	.	.	+	-	-	-	.	-	-	.	.	.	+	-	-	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
nɬ	.	-	-	-	-	+	.	.	+	-	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	-	-	-	-	-	-
nɮ	.	-	-	-	-	+	.	.	+	-	-	-	.	.	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nɾ	.	-	-	-	-	+	+	.	.	.	.	-	.	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nʱ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
nʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
nʲː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
nʲˑ	.	-	-	+	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
nʷ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nʷʲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	+	-	+	+	-	-	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
nʼ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
nˀ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
nː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nˑ	.	-	-	+	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
nˠ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
nˤ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
nˤː	.	-	-	-	+	+	+	-	.	-	-	-	+	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
