INVENTORY	GLOTTOCODE	SEGMENTS
49	nung1290	aː æ ɐ c̟ ɪ j k l l̪ ɭ m n n̪ ɲ̟ ɳ ŋ p r ɻ t t̪ ʈ ɯ̞ w
50	alaw1244	a c̟ e̞ e̞ː ɪ j k l ɭ ʎ̟ m mb n nd ɲ̟ ɲ̟ʝ̟ ɳ ɳɖ ŋ ŋɡ p ɹ ɾ t ʈ ɯ̞ w ʔ
51	wikm1247	a aː c̟ ɛ ɛː i iː j k l m n ɲ̟ ŋ ɔ ɔː p r t ʊ ʊː w ʔ
52	nucl1632	a̟ e ə ɛ f h i j k m n ɔ p ɺ t u w
53	kwom1262	a e ɛ h i ɨ j k kʷ m mb mbʷ mʷ n nd n̠d̠ʒ ɲ ŋɡ ŋɡʷ o̞ ɸ ɸʷ ɾ s ʃ t t̠ʃ u w ʔ β
54	tamn1235	a e f i ʝ k m n ɔ p pʷ ɾ s ʃ t t̠ʃ u w θ
55	tele1256	˥ ˧ a aː b d ɛː f ɡ h i iː j k kʷ l m n ŋ ɔː p s t u uː w ʔ
56	gads1258	˥ ˧˩ ˩ ˩˨ a̟ː d eː ɜ i j k m n oː p t̻ u ʔ β
57	awiy1238	˥ ˥˩ ˩ aː e ə i j k m mː n nː o̞ p ɾ t u w ʔ
58	kuni1267	a b d̪ e ɡ ɢ i k l m n ŋ p ɽ s t u ʊ z β̞
59	sele1250	a ɛ h i j kʰ l m mb n nd ŋ ŋɡ o ɶ̝ pʰ ɾ s tʰ u w
60	naas1242	a aː b ɛ ɛː i iː k m n o oː p ɾ t u uː ʔ
61	aleu1260	a aː ð f ɣ h i iː j j̥ k l l̥ m m̥ n n̥ ŋ ŋ̥ p q r ʁ ʃ t t̠ʃ u uː v w ʍ x ʒ ʔ β χ
62	kala1399	a aː fː ɣ h i ɪː ʝ k kː l ɬː m mː n nː ɴ ɴː ŋ ŋː p pː q qː ʁ s̻ s̻ː ʃ ʃː t tː tːs u ʊː xː ʔ β χː
63	chip1261	˥ ˥˦ ˩ ˩˨ a ã aː ãː ð e ɛ ɛ̃ ɛː ɛ̃ː ɣ ɣʷ h i ĩ iː ĩː j k kʷ kʷʼ kx kxʷ kʼ l l̥ m n o p r s ʃ t tɬ tɬʰ tɬʼ ts tsʰ tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ tx tʼ t̪θ t̪θʰ t̪θʼ u ũ uː ũː x xʷ z ʔ θ
