INVENTORY	GLOTTOCODE	SEGMENTS
1590	giry1241	˦ ˨ a b d d̪ ð dz d̠ʒ e f ɡ ɡb h ɦ i j k kp l m mb n nd n̪d̪ ndz n̠d̠ʒ ɲ ŋ ŋɡ ŋm ŋmɡb o p r s ʃ t t̪ ts t̠ʃ u v w z ʔ β
1591	kamb1298	˦ ˨ a b d d̪ ð dz d̠ʒ e f ɡ ɡb h ɦ i j k kp l m mb n nd n̪d̪ ndz n̠d̠ʒ ɲ ŋ ŋɡ ŋm ŋmɡb o p r s ʃ t t̪ ts t̠ʃ u v w z ʔ β
1592	kaum1238	˦ ˨ a b d d̪ ð dz d̠ʒ e f ɡ ɡb h ɦ i j k kp l m mb n nd n̪d̪ ndz n̠d̠ʒ ɲ ŋ ŋɡ ŋm ŋmɡb o p r s ʃ t t̪ ts t̠ʃ u v w z ʔ β
1593	giry1241	˦ ˨ a b d d̪ ð dz d̠ʒ e f ɡ ɡb h ɦ i j k kp l m mb n nd n̪d̪ ndz n̠d̠ʒ ɲ ŋ ŋɡ ŋm ŋmɡb o p r s ʃ t t̪ ts t̠ʃ u v w z ʔ β
1594	giry1241	˦ ˨ a b d d̪ ð dz d̠ʒ e f ɡ ɡb h ɦ i j k kp l m mb n nd n̪d̪ ndz n̠d̠ʒ ɲ ŋ ŋɡ ŋm ŋmɡb o p r s ʃ t t̪ ts t̠ʃ u v w z ʔ β
1595	vame1236	˦ ˧ ˨ a b ɓ d dz d̠ʒ ɗ e ə ɡ ɡʷ ɣ ɣʷ h hʷ i j k kʷ l ɬ ɮ m mb n nd n̠d̠ʒ nz ŋ ŋɡ ŋɡʷ ŋʷ p r s ʃ t ts t̠ʃ u w z ʒ
1596	mmaa1238	˦ ˨ a b d e ɛ f ɡ i ɪ j k l m mb mpʰ ɱf n nd ntʰ ɲ ŋ ŋɡ ŋkʰ o ɔ p s t t̠ʃ u ʊ w
1597	mpad1242	˦ ˦˨ ˧ ˨ a b ɓ d d̠ʒ ɗ e f ɡ ɡʷ h i ɨ j k kʷ kʷʼ kʼ l m mb n nd ŋɡ o p r s ʃ t tsʼ t̠ʃ t̠ʃʼ u w z
1598	mofu1248	a aː b ɓ d d̠ʒ ɗ e eː ə f ɡ ɡb ɡʷ h hʷ j k kp kʷ l ɬ ɮ mb n nd n̠d̠ʒ ŋ ŋɡʷ ŋmɡb p r s t t̠ʃ v ⱱ w z ʔ
1599	mbee1250	˦ ˨ a b bʲ bʷ d dʷ dz dzʷ d̠ʒ d̠ʒʷ e ɛ f fʷ ɡ ɡb ɡʲ ɡʷ i j jʷ k kʲ kp kʷ l lʲ lʷ m mʲ mʷ ɲ ɲʷ ŋ ŋʷ o ɔ p pʲ pʷ r rʲ rʷ s sʷ ʃ ʃʷ t ts tsʷ t̠ʃ t̠ʃʷ tʷ u w
1600	ncan1245	˦ ˦˧ ˧ ˧˨ ˨ ˨˧ a ã aː b d d̠ʒ e ɛ ɛ̃ ɛː f ɡ i ĩ iː j k l m n ɲ ŋ o õ oː ɔ ɔ̃ ɔː s ʃ tʰ t̠ʃ u ũ w
1601	mfum1238	˥˩ ˦˨ ˧ ˨ ˨˦ a b bˠ bʱ bʲ d dz d̠ʒ e ə f fʷ ɡ ɡb ɡʲ ɡʷ ɣ h hʲ hᶣ hʷ i j k kʲ kp kʷ l m mb mbˠ mbʲ mp mpʲ ɱf ɱfʲ ɱv n nd ndz n̠d̠ʒ ns n̠ʃ nt nts ɲ ɲʷ ŋ ŋɡʲ ŋɡʷ ŋɣ ŋɣʲ ŋɣᶣ ŋɣʷ ŋh ŋhʲ ŋhᶣ ŋhʷ ŋkʲ ŋkʷ ŋmɡb ŋmkp ŋʷ o ø ɔ p pʲ pʷ ɾ s ʃ t ts t̠ʃ u ɥ ɯ v w x y z ʒ
1602	njye1238	˦ ˨ ɑ ɑː b d dz e eː ɛ ɛː f ɡ ɡb i iː ɪ ɪː j k kp l m n ɲ o oː œ œː ɔ ɔː p s ʃ t ts u uː ʊ ʊː v w
1603	buam1238	˦ ˧ ˨ a ã b ɓ c d̪ e f ɡ h i ĩ k l̪ m n̪ ɲ o p s̪ t̪ u ũ v z̪
1604	kwam1250	˦ ˨ a aː b ɓ d d̠ʒ ɗ e eː f ɡ ɡʷ h i iː j k kʷ l m mb n nd ŋɡ ŋɡʷ ɔ ɔː p r s ʃ t t̠ʃ u uː w z ʔ
1605	guro1248	˦ ˧ ˨ a ã aː ãː b bʷ d̪ dʲ e eː ɛ ɛ̃ ɛː ɛ̃ː f ɡ ɡb ɡʲ i ĩ iː ĩː ɪ ɪː j k kʲ kp l̪ m n̪ nʲ o oː ɔ ɔ̃ ɔː ɔ̃ː p pʷ ɽ s̪ sʲ sʷ t̪ u ũ uː ũː ʊ ʊː v w z̪
1606	kabu1256	a b c d e ɛ f ɡ i ɟ k l ʎ m n ɲ ŋ̞ o ɔ p r s ʃ t u v z ʒ
1607	boun1243	˦ ˨ a ã b d e ẽ ɛ ɛ̃ f ɡ ɡb h i ĩ ɪ ɪ̃ j ɟ k kp l m n ɲ ŋ ŋm o õ ɔ ɔ̃ p r s ʃ t u ũ ʊ v w x z ʒ ʔ
1608	tsam1247	˦ ˨ a aː b bː ɓ ɓː c cː cʼː d dː d̠ʒː ɗ e eː ɡ ɡː ɠ ɠː h ħ hː ħː i iː j jː k kː l lː m mː n nː ɲ ɲː o oː p pː qʼ qʼː r rː s sː ʃ ʃː t tː tsʼ tsʼː u uː w wː x xː z zː ʒ ʔ ʔː ʕ ʕː
1609	cent2194	a b d dˀ f ɡ ɡʷ ɣ ɣʷ ɣˀ h ħ i j k kʷ l lˀ m n q qʷ r rˀ s sˀ ʃ ʃˀ t tˀ u w x xʷ z zˀ ʒ ʒˀ ʕ
1610	siwi1239	a æ b d d̠ʒ e ɛ f ɡ h ħ i ɪ ɪː j k l m n ŋ o ɔ p r rː ʀ s sː ʃ t t̠ʃ u ʊ ʌ w z ʕ ʕː
1611	ndam1239	a b d d̠ʒ e f ɡ ɣ h i j k l m n ŋ o p s t t̠ʃ u v w
1612	bare1279	˦ ˧ ˨ a aː b bː d dː e eː ɡ ɡː i iː j ɟ ɟː k kː l lː m mː n nː ɲ ɲː ŋ o oː p pː r s sː t tː u uː w
1613	bare1279	˦ ˧ ˨ a aː b d e eː ɡ i iː j ɟ k l m n ɲ ŋ o oː p r s t u uː w
1614	bare1279	˦ ˧ ˨ a aː b bː d dː e eː ɡ ɡː i iː j jː ɟ ɟː k kː l lː m mː n nː ɲ ɲː ŋ ŋː o oː p pː r rː s sː t tː u uː w
1615	bare1279	˦ ˨ a aː b bː d dː ɗ ɗː e eː ɡ ɡː h i iː j jː ɟ ɟː k kː l lː m mː n nː ɲ ɲː ŋ o oː p pː r s sː t tː u uː w
1616	gaam1241	˦ ˧ ˨ a aː b bː c d d̞ d̪ dː d̪ː ə əː ɛ ɛː f fː ɡ ɡː i iː j ɟ ɟː k l lː m mː n nː ɲ ɲː ŋ ŋː ɔ ɔː p r ɾ s sː t t̪ u uː w
1617	abar1238	˥ ˦ ˧ ˨ a b ɕ d̪ d̪z̪ dʑ e ə ɛ f ɡ ɡb h i j k kp l̪ m n̪ ɲ ŋ o ɔ p s̪ t̪ tɕ t̪s̪ u ɥ w
1618	mund1328	˥ ˦ ˧ ˨ a ɒ b d̪ d̪z̪ d̠ʒ e ə ɛ f ɡ ɡb i ɪ ɨ j k kp l̪ m n̪ ɲ ŋ o ɔ s̪ ʃ t̪ t̪s̪ t̠ʃ u ɥ ʊ w
1619	mbuu1238	˦ ˧ ˨ a b d̪ d̪z̪ d̠ʒ e ə ɛ f ɡ ɡb ɣ i ɨ j k kp l̪ n̪ ɲ ŋ o ɔ s̪ ʃ t̪ t̪s̪ t̠ʃ u ɥ v w y z̪ ʒ ʔ
1620	kosh1246	˦ ˧ ˨ a æ b d̪ d̪z̪ d̠ʒ e ə ɛ f ɡ ɡb i i̜ ɨ̜ j k kp l̪ m n̪ ɲ ŋ ɔ s̪ ʃ t̪ t̪s̪ t̠ʃ u u̜ w z̪ ʒ
1621	fang1248	˦ ˧ ˨ a b d̪ d̠ʒ e ə ɛ f ɡ ɡb i i̜ j k kp l̪ m ɱ n̪ ɲ ŋ o ɔ p s̪ t̪ t̪s̪ t̠ʃ u u̜ v w ʒ
1622	kura1250	a ã aː ãː b c d e ẽ eː ẽː ɛ ɛ̃ ɛː ɛ̃ː f ɡ ɡb h i ĩ iː ĩː j k l m mb mp ɱf n nd nt ɲ ŋ ŋk ŋmɡb o õ oː õː ɔ ɔ̃ ɔː ɔ̃ː p ɹ s t u ũ uː ũː w
1623	niel1243	˦ ˧ ˨ a ã aː ãː b ɓ c d ɗ e ẽ eː ə ə̃ əː ə̃ː ɡ h i ĩ iː ĩː ia iã iaː i̯ãː j ɟ k l m mb n nd ɲ ɲɟ ŋɡ ŋm o õ oː õː p r s t u ũ uː ũː ua uã uaː uãː w ʔ
1624	nort3047	˥˩ ˦ ˧ ˨ ˩˥ a b ɓ d d̠ʒ ɗ e f ɡ ɡʷ h j k kʷ l ɬ ɮ mb n nd ndz ŋ ŋɡ o r s t t̠ʃ v w z ʔ
1625	mogh1246	˦ ˧ ˨ a ã b d dʷ d̠ʒ d̠ʒʷ e ẽ ə ə̃ f fʲ ɡ ɡʲ ɡʷ ɣ i ĩ k kʲ kʷ m mb n nd n̠d̠ʒ nʷ ŋ ŋɡ ŋʷ o õ ɔ ɔ̃ p s sʷ t t̠ʃ t̠ʃʷ tʷ u ũ w z zʷ
1626	mokp1239	˦ ˨ a b d̠ʒ e ɛ ɡb hʷ i j k kp l m mb n nd n̠d̠ʒ ɲ ŋɡ ŋmɡb o ɔ p ɸ t u w ʒ β
1627	siam1242	˥˩ ˦ ˦˥ ˧ ˨ a ã b c d e ə ɛ ɛ̃ f ɡb h i ĩ j ɟ k kp l m n ɲ ŋm o ɔ ɔ̃ p r s ʃ t u ɯ v w y
1628	ngie1241	˥˩ ˦ ˨ ˩˥ a b d e ɛ f ɡ i j k m n ŋ o ɔ p pf s t ts u ɥ ɰ v w z
1629	nugu1242	˥˩ ˦ ˨ ˩˥ a b d e ɛ f ɡ h i j k l m mb mp n nd nt n̠t̠ʃ ɲ ŋ ŋɡ ŋk o ɔ p s t t̠ʃ u w
1630	tigo1236	˥˩ ˦ ˧ ˨ ˩˥ a ɑ b bʲ bɾ bʷ d dɾ dʷ d̠ʒ d̠ʒɾ d̠ʒʷ e eː ɛ ɛː f fʲ fɾ fʷ ɡ ɡb ɡbɾ ɡɾ ɡʷ h i j k kʲ kp kpʲ kpɾ kpʷ kɾ kʷ kʷɾ l m mb mbʲ mbɾ mbʷ mʲ mp mpɾ mpʷ mɾ mʷ ɱf ɱfɾ ɱv ɱvʲ ɱvɾ n nd ndɾ ndʷ n̠d̠ʒ nɡɾ nɾ ns nsɾ n̠ʃ nt ntɾ n̠t̠ʃ n̠t̠ʃɾ nʷ nz nzɾ ɲ ŋ ŋɡ ŋɡʷ ŋk ŋkɾ ŋkʷ ŋmɡb ŋmkp ŋmkpɾ ŋɾ ŋʷ o ɔ ɔː p pʲ pɾ pʷ ɾ s sɾ sʷ ʃ t tɾ t̠ʃ t̠ʃɾ t̠ʃʷ tʷ u uː v vʲ vɾ vʷ w z zɾ ʒ
1631	orma1241	a aː b d d̠ʒ ɗ e eː f ɡ h i iː j k kʼ l m n nʲ o oː p pʼ ɾ s t t̠ʃ t̠ʃʼ tʼ u uː w
1632	piny1238	˥˩ ˦ ˧ ˨ ˩˥ a aː b bʲ d dʲ dʷ ə əː ɛ f ɡ ɡʲ ɡᶣ ɡʷ i iː iə iɛ ɨ ɨː ɨə j k kʲ kᶣ kʷ m mʲ n nʲ nʷ ɲ ɲʷ ŋ ŋʷ ɔ ɔː pʷ s sʷ ʃ ʃʷ t tʲ ts tsʷ t̠ʃ t̠ʃʷ tʷ u uː uə ɥ w y yə z zʷ ʒ ʒʷ
1633	pana1294	˥˩ ˦ ˨ ˩˥ a ã aː ãː b ɓ d ɗ e ẽ eː ẽː ɛ ɛ̃ ɛː ɛ̃ː f ɡ ɡb h hʲ hʷ i ĩ iː ĩː j k kp l m mb n nd ndz ɲ ŋ ŋɡ ŋmɡb ŋʷ o õ oː õː ɔ ɔ̃ ɔː ɔ̃ː p ɾ s sʷ t ts u ũ uː ũː v ⱱ w z
1634	reel1238	˦ ˨ ˩˥ a a̤ aː a̤ː aˑ a̤ˑ b c d d̪ e e̤ eː e̤ː eˑ e̤ˑ ɛ ɛ̤ ɛː ɛ̤ː ɛˑ ɛ̤ˑ ɡ i i̤ iː i̤ː iˑ i̤ˑ j ɟ k lʲ m n n̪ ɲ ŋ o o̤ oː oˑ ɔ ɔ̤ ɔː ɔ̤ː ɔˑ ɔ̤ˑ p r t t̪ u ṳ uː ṳː uˑ ṳˑ w ʔ
1635	wuzl1236	˦ ˧ ˨ a b ɓ d dz ɗ e ə f ɡ ɡʷ ɣ ɣʷ hʷ i j k kʷ l ɬ ɮ m mb n nd nz ŋ ŋɡ ŋɡʷ p r s t ts u v w z χ
1636	lese1243	˦ ˧ ˨ a b bv ɓ d dʷ d̠ʒ e ɛ f ɡ ɡb ɠɓ h i ɪ j k ɭ ɭʷ m n o œ ɔ p pf ɾ ɾʲ ɾʷ s sʷ t t̠ʃ ʈ u ʊ w ʔ
1637	tour1242	˥˩ ˦ ˦˥ ˨ a ã b ɓ d e ɛ ɛ̃ f ɡ ɡb ɡʷ i ĩ ɪː j k kp kʷ l m n ŋ o ɔ ɔ̃ p s t u ũ ʊː v w z
1638	gwen1239	a b c d e f ɡ ɣ h i j ɟ k kʲ l m n ɲ ŋ o p pf r ʃ t u w β θ
1639	sumb1240	˦ ˨ a aː b d d̠ʒ e eː f ɡ h i iː j k l m n o oː p s ʃ t t̠ʃ u uː v w z β
1640	zinz1238	a aː b c d e eː f ɡ h i iː j ɟ k l m n ɲ o oː p s ʃ t u uː v w z
1641	meru1245	a aː b d e eː f i iː j k l m n ɲ ŋ o oː p r s ʃ t u uː w β
1642	kahe1238	ɑ ɑː b c d ɛ ɛː f ɡ ɣ h i iː j ɟ k l m n ɲ ŋ ɔ ɔː p r s ʃ t u uː v w
1643	hang1260	˦ ˨ a aː c d e eː f ɡ h i iː j ɟ k m n ɲ o oː p pf r s ʃ t ts u uː v w z ʒ β
1644	moch1256	a b c d e f ɡ h i j ɟ k l m n ɲ o p pf s ʃ t ts u w
1645	suba1252	˦ ˨ a aː c d e eː ɛ ɛː f ɡ ɣ h i iː j ɟ k l m n ɲ ŋ o oː ɔ ɔː p r s ʃ t u uː v w z β
1646	kway1241	˦ ˨ a aː b d e eː f ɡ i iː j ɟ k l m n ɲ o oː p s t t̠ʃ u uː w β
1647	wawa1246	˦ ˧ ˨ a aː b d d̠ʒ e eː ə əː ɛ ɛː f ɡ ɡb ɡʷ h i iː j k kp kʷ l m mb ɱv n nd n̠d̠ʒ ɲ ŋ ŋɡ ŋɡʷ ŋm ŋmɡb o oː ɔ ɔː p s t t̠ʃ u uː w
1648	tach1250	a b d̪ dˤ ə f ɡ ɡʷ ɣ ɣʷ h ħ i j k kʷ l̪ lˤ m n̪ q qʷ rˤ ɾ̪ s̪ sˤ ʃ t̪ tˤ u w x xʷ z̪ zˤ ʒ ʕ
1649	tuni1251	˦ ˧ ˨ a ã b ɓ c d ɗ e ə ɛ ɛ̃ ɡ h i ĩ j ɟ k l m mb n nd ɲ ɲɟ ŋɡ o ɔ ɔ̃ r s t u ũ w ʔ ˀɲ
1650	ceba1235	˦ ˧ ˨ a ã aː ãː b d d̠ʒ e ɛ ɛ̃ ɛː ɛ̃ː f ɡ ɡb i j k kp l m n ŋ o ɔ ɔ̃ ɔː ɔ̃ː p r s ʃ t t̠ʃ u v w z ʒ ʔ
1651	fuli1240	˦ ˨ a aː b d d̠ʒ e eː f ɡ h i iː j k l m mb n nd ɲ ŋɡ o oː p r s ʃ t u uː v w z ʒ
1652	sand1273	˥˩ ˦ ˧ ˨ ˩˥ a aː ãː b d dɮ d̠ʒ e eː ẽː f ɡ ɡǀ ɡǁ ɡǃ h i iː ĩː j k kʰ kʼ kǀ kǀʰ kǀʼ kǁ kǁʰ kǁʼ kǃ kǃʰ kǃʼ l ɬ m n ŋǀ ŋǁ ŋǃ o oː õː p pʰ ɾ s t tʰ tɬ tɬʼ tsʼ t̠ʃ t̠ʃʰ u uː ũː w x ʔ
1653	tsuv1239	˦ ˨ ˩˥ a ã aː ãː b ɓ d ɗ e ẽ eː ẽː f ɡ h i ĩ iː ĩː j ɟ k kː l lː m mː n nː ɲ o õ oː õː ɔ ɔ̃ ɔː ɔ̃ː p s ʃ t tː u ũ uː ũː v w z ʒ ʔ
1654	ejag1239	˦ ˧ ˨ a b d d̠ʒ ə ɛ f ɡ ɡb i j k kp m n ɲ ŋ ɔ p ɾ s t t̠ʃ u w y
1655	yemb1246	˥˩ ˦ ˨ a b d e ɛ f ɡ i j k m n ŋ o ɔ pf s t ts u v w z ʔ
1656	bafa1249	˦ ˧ ˨ a ã aː ɐ ɐ̃ ɐː d̠ʒ e ẽ eː ə ə̃ əː ɛ ɛ̃ ɛː f ɣ i ĩ iː j kʰ kʷ l m mb ɱ n nd n̠d̠ʒ ɲ ŋ ŋɡ ŋɡʷ ŋʷ o õ oː ɔ ɔ̃ ɔː p pʰ s t tʰ t̠ʃ u ũ uː ɯ ɯ̃ ɯː w z
1657	burj1242	a aː b c d d̠ʒ ᶑ e eː f ɡ h i iː j kʼ l m n ɲ o oː p pʼ r s ʃ t t̠ʃ t̠ʃʼ tʼ u uː w z ʔ
1658	anii1245	˦ ˨ a b d d̠ʒ e ə ɛ f ɡ ɡb h i ɪ ɨ j k kp l m n ɲ ŋ ŋm o ɔ p r s ʃ t t̠ʃ u ʊ w
1659	fipa1238	˦ a aː b d e eː f ɡ i iː ɪ ɪː j k l m n ɲ ŋ o oː p s ʃ t t̠ʃ u uː ʊ ʊː v w z ʒ
1660	nawu1242	˦ ˨ a b bʷ d d̠ʒ e ɛ f fʷ ɡ ɡb h i ɪ j k kp kʷ l m mʷ n ɲ ŋ ŋm o ɔ p pʷ r s sʷ t t̠ʃ t̠ʃʷ u u̞ w
1661	anfi1235	a aː b bː d dː dz e eː ɡ ɡː h i iː j jː k kː kʼ kʼː l lː m mː n nː o oː p pː pʼ pʼː r sʼ sʼː ʃ t tː ts tsː tsʼ tʼ tʼː u uː w wː ʔ
1662	ntom1248	a b e ɛ f ɡ h i j k l m mb mp n nd n̠d̠ʒ ns nt ɲ ŋɡ ŋk o ɔ p s t ts u w
1663	tumt1243	˦ ˨ a aː ɓ ɓː d̪ d̪ː ɖ ɖː ɗ ɗː e eː f ɡ ɡː i iː ɪ ɪː j jː ɟ l lː m mː mb n nː n̪d̪ nɗ ɲ ɲː ɲɟ ɳɖ ŋ ŋː ŋɡ ɔ ɔː pf r rː s sː ʃ u uː ʊ ʊː w wː ʔ
1664	iyiv1238	˥˩ ˦ ˨ ˩˥ a b bʷ d dʲ dz dzʷ d̠ʒ ə ɛ f fʷ ɡ ɡb ɡʲ ɡʷ h hʲ hʷ i j k kp kʷ lʲ lʷ m mb mbʷ mʷ n nd ndz ndzʷ n̠d̠ʒ nz ɲ ŋ ŋɡ ŋɡʲ ŋɡʷ ŋmɡb o ɔ p pʷ s sʷ ʃ ʃʷ t tʲ ts tsʷ t̠ʃ t̠ʃʷ tʷ u v w
1665	bata1293	a b d d̠ʒ e ə ɡ h i k l m n ŋ o p r s t t̠ʃ u ɯ w y
1666	taga1270	a b c d e f ɡ h i j ɟ k l m n ŋ o p r s t u w ʔ
1667	sout2918	a b d e ə ɡ h i j ɟ k l m n ɲ ŋ o p s t u w ʔ
1668	kima1244	a b ɓ d d̠ʒ ɗ e ɤ ɡ i j k l m n ŋ p ɾ s t u w ʔ
1669	bela1260	a b c d e ɡ h i iə j ɟ k l m n ɲ ŋ o p ʁ s t u w ʔ
1670	ilok1237	a b d e ɛ ɡ h i j k l m n ŋ ɔ p r s t ts u w ʔ
1671	east2563	a ɓ c cʰ ɗ e ə ɛ h i ɨ j k kʰ l m n ɲ ŋ o ɔ p pʰ r s t tʰ u w ʔ
1672	mokl1243	a aː au̯ ay b d e eː ə əː əy ɛ ɛː ɛo ɡ h i iː ia k kʰ l m n ɲ ŋ o oː ɔ ɔː p pʰ t tʰ t̠ʃ t̠ʃʰ u uː uə uy ɯ ɯː ɯə w y ʔ
1673	moke1242	a aː b d d̠ʒ e eː ea ə ɛ ɛː ɡ h i iː k kʰ l m n ɲ ŋ o oː oa ɔ ɔː p pʰ t tʰ t̠ʃ t̠ʃʰ u uː w y ʔ
1674	nias1242	a b d dr d̠ʒ e ɤ f ɡ h i j k m n o s t t̠ʃ u v ʋ w x ʔ
1675	java1254	a b d d̠ʒ ɖ e ə ɛ f ɡ h i k l m n ɲ ŋ o ɔ p r s ʃ t t̠ʃ ʈ u w x y z ʔ
1676	buol1237	a b d d̠ʒ e ɡ h i k l m n ŋ o p r s t̪ u w y ʔ β
1677	maka1311	a b c d e ɡ h i j ɟ k l m n ɲ ŋ o p r s t u w
1678	mori1268	a b d e ɡ h i k l m mb mp n nd ns nt ŋ ŋɡ ŋk o p r s t u ʔ β
1679	kamb1299	a aː ai au ɓ d̠ʒ ɗ e h i iː j k l m mb n nd n̠d̠ʒ ɲj ŋ ŋɡ o p r t u uː w
1680	tetu1245	a b d e f h i k l m n o r s t u w ʔ
1681	leti1246	a aː d e eː ɛ i iː k l m n o oː ɔ p r s t u uː β
1682	east2440	a b d d̠ʒ e f ɡ i j k l m n ŋ o p r s t t̠ʃ u w ʔ
1683	biak1248	a b d e ɡ i j k m n o p ɸ r s t u w β
1684	ambo1250	a b c d e f ɡ i j ɟ k l m n ɲ ŋ o p r s t u w
1685	band1353	a b c d e f ɡ i j ɟ k l m n ɲ ŋ o p r s t u w
1686	mala1481	a b c d e ə f ɡ i j ɟ k l m n ɲ ŋ o p r s t u w ʔ
1687	kupa1239	a b c d e ə f ɡ i j ɟ k l m n ɲ ŋ o p r s t u w ʔ
1688	lara1260	a b c d e ə f ɡ i j ɟ k l m n ɲ ŋ o p r s t u w ʔ
1689	nort2828	a b c d e ə f ɡ i j ɟ k l m n ɲ ŋ o p r s ʃ t u w x ʔ
1690	indo1316	a b d d̠ʒ e ə ɛ f ɡ h i k l m n ɲ ŋ o p r s ʃ t t̠ʃ u v w x y z ʔ
1691	nucl1460	a b c cʰ d̪ ɖ ə ɛ ɤ f ɡ h i ɨ j ɟ k kʰ l m n ɲ ŋ ɔ p pʰ r s t̪ t̪ʰ ʈ ʈʰ u w ʔ
1692	cebu1242	a b d d̠ʒ ɡ h i j k l m n ŋ p r s t t̠ʃ u w ʔ
1693	bali1278	a b d d̠ʒ e ə ɡ h i j k l m n ɲ ŋ o p r s t t̠ʃ u w
1694	bugi1244	a b d d̠ʒ e ə ɡ h i j k l m n ɲ ŋ o p r s t t̠ʃ u w ʔ
1695	cent2087	a b d dz e f ɡ i j k l ʎ m n ɲ ŋ o p r s ʃ t ts u v w z ʔ
1696	hili1240	a b d d̠ʒ e f ɡ h i j k l m n ŋ o p r s t t̠ʃ u v w ʔ
1697	pamp1243	a b d d̠ʒ e ɡ h i k l m n ŋ o p r s t t̠ʃ u w ʔ
1698	mina1268	a ai̯ au b d d̠ʒ e f ɡ h i iə j k l m n ɲ ŋ o p r s ʃ t t̠ʃ u uə ui̯ w x z ʔ
1699	pang1290	a b d d̠ʒ e ɡ i j k l m n ŋ o p s t t̠ʃ u w ʔ
1700	teng1272	ɑ ɑ̤ ɒ ɒ̤ e e̤ ə ə̤ ɛ ɛ̤ h i i̤ ɪ ɪ̤ j k l m mp n nt n̠t̠ʃ ɲ ɳʈ ŋ ŋk o o̤ ɔ ɔ̤ p r t t̠ʃ ʈ u ṳ ʊ ʊ̤ w ʔ
1701	abuj1237	a aː aˑ b cç d̪ ɖ e eː eˑ ə ɡ h i iː iˑ ɨ j ɟʝ k l m n ɲ ɳ ŋ o oː oˑ p r r̠ʲ s t̪ ʈ u uː uˑ w
1702	apuc1241	a b c d̪ ɖ e ə ɛ i ɪ j ɟ k̙ l m n ɲ ɳ ŋ o ɔ p r ɾ s t̪ tʰ t̪ʰ ʈ ʈʰ u ɯ w θ χ
1703	anga1288	˥ ˧ ˧˥ ˨˩ ˩ a b bv ç cç d dz e ə f ɡ h i j j̤ ʝ ɟʝ k kʰ l l̤ m m̤ ɱ n n̤ ɲ ɲ̤ ŋ o p pf pʰ r r̤ s t tʰ ts u v w w̤ z
1704	aona1235	˥˩ ˧ ˩˥ a b ç cç d e ə ɡ i j ɟʝ k kʰ l l̤ m n ŋ o ɔ p pʰ ɾ s t tʰ ts u ɯ w z ʔ
1705	apat1240	˥˩ ˧ ˩˥ a æ b bʲ cç d e ə ɛ ɡ ɡʲ h i ɨ j ɟʝ k l lʲ m mʲ n nʲ ɲ ŋ o p pʲ ɾ s t u ũː ɯ ʊ̃ ʌ β
1706	assa1263	a æ̞̃ b b̤ d̪ d̪̤ e ẽ̞ ɛ ɡ ɡʱ ɦ i ɪ̃ j k kʰ l m n̪ ŋ o õ̞ ɔ p pʰ r s t̪ t̪ʰ u u̞ ũː ʊ̃ ʌ̃ w z
1707	awad1243	æ ɑ b b̤ cç cçʰ d̪ d̪̤ ɖ ɖ̤ e ɛ ɡ ɡʱ h ɦ i j ɟʝ ɟ̤ʝ k kʰ l l̤ m m̤ n ɲ ɳ ŋ o ɔ p pʰ r r̤ ɽ ɽ̤ s t̪ t̪ʰ ʈ ʈʰ u w
1708	bada1257	a aː b c d̪ ɖ e eː ə ɛ ɡ i ɨ j ʝ ɟ k l ɭ m n ɲ ɳ ŋ o oː p r s ʂ t̪ ʈ u uː v ʌ w x
1709	balt1258	a aː aˑ b ç cç cçʰ d d̪ ð e eː eˑ ɛ f ɡ h i iː iˑ j ʝ ɟʝ k kʰ l ɮ n ɲ ŋ o oː oˑ ɔ p pʰ q ɽ ʁ s t t̪ tʰ t̪ʰ ts tsʰ u uː uˑ ʌ w z χ
1710	lamb1269	ɑ ɑː b ç cç d̪ dz ɖ e ɡ h i iː j ɟʝ k l ɭ n ɲ ɳ ŋ o oː p ɾ s ʂ ts ʈ u uː ʌ w
1711	beng1280	a æ æ̞̃ ɑ̃ b b̤ ç cç cçʰ d̪ d̪̤ ɖ ɖ̤ e ɛ̃ ɡ ɡʱ h ɦ i ɪ̃ j ɟʝ ɟ̤ʝ k kʰ l m n ŋ o õ̞ ɔ p pʰ r ɽ ɽ̤ ɾ s t̪ t̪ʰ ʈ ʈʰ u ũː ʊ̃ w
1712	bhil1251	a aː aˑ b b̤ ç cç d̪ d̪̤ dz ɖ ɖ̤ e ẽ̞ eː eˑ ə əː əˑ ɛ ɛː ɡ ɡʱ h ɦ i iː iˑ ɨ ɨː ɨˑ j ɟʝ ɟ̤ʝ k kʰ l l̤ ɭ m m̤ n̪ n̪̤ o õ oː oˑ p pʰ ɾ s t̪ t̪ʰ ts ʈ ʈʰ u uː ũː uˑ ʊ̃ w
1713	mund1320	a aː æ̞̃ b b̤ cç cçʰ d̪ d̪̤ ɖ ɖ̤ e e̞ eː ɡ ɡʱ i iː ɪ ɪ̃ j ɟʝ ɟ̤ʝ k kʰ l m n n̪ ɲ ɳ ŋ o õ̞ oː ɔ p pʰ ɽ ɾ s t̪ t̪ʰ ʈ ʈʰ u u̞ uː ũː ʊ ʊ̃ ʌ w ʔ
1714	boro1277	˥˦ ˧˩ a b d̪ dz e e̞ ə ɛ ɡ ɣ i j k kʰ l m n̪ ŋ o p pʰ ɸ ɾ s t̪ t̪ʰ u w x z
