GLOTTOCODE	NAME	FAMILY	MACROAREA	LATITUDE	LONGITUDE
awiy1238	Awiyaana	Nuclear Trans New Guinea	Papunesia	-6.54079	145.76
awng1244	Awngi	Afro-Asiatic	Africa	10.9819	36.6916
awtu1239	Awtuw	Sepik	Papunesia	-3.53129	141.928
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	24.6009	103.713
ayab1239	Yintyinka-Ayabadhu	Pama-Nyungan	Australia	-14.6652	142.893
ayac1239	Ayacucho Quechua	Quechuan	South America	-13.84714	-74.32246
ayer1245	Ayere	Atlantic-Congo	Africa	7.52206	6.01979
ayer1246	Ayerrerenge	Pama-Nyungan	Australia		
ayor1240	Ayoreo	Zamucoan	South America	-19.220055	-60.217495
baan1242	Baangi	Atlantic-Congo	Africa	10.8083	5.7261
baat1238	Baatonum	Atlantic-Congo	Africa	9.63186	2.99607
baba1264	Baba	Atlantic-Congo	Africa	6.11222	10.5216
baba1266	Babanki	Atlantic-Congo	Africa	5.97863	10.2869
bada1257	Badaga	Dravidian	Eurasia	11.3094	76.5974
bade1248	Bade	Afro-Asiatic	Africa	12.789	10.6557
badi1246	Badimaya	Pama-Nyungan	Australia	-29.0647	117.246
bady1239	Jaad-Badyara	Atlantic-Congo	Africa	12.6425	-13.4759
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	4.53307	9.522
bafa1249	Bafanji	Atlantic-Congo	Africa	5.84612	10.4518
bafi1243	Bafia	Atlantic-Congo	Africa	4.72603	11.0982
bafu1246	Bafut	Atlantic-Congo	Africa	6.14153	10.1194
baga1272	Baga Sitemu	Atlantic-Congo	Africa	10.4793	-14.4756
baga1273	Baga Koga	Atlantic-Congo	Africa	10.1286	-13.947
bagi1246	Bagirmi	Central Sudanic	Africa	11.52392	14.769495
baim1244	Baima	Sino-Tibetan	Eurasia	33.1001	103.952
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	2.16013	13.7804
baka1273	Bakaka	Atlantic-Congo	Africa	4.79991	9.80402
baka1274	Baka (Sudan)	Central Sudanic	Africa	4.65943	29.59
baka1277	Bakairí	Cariban	South America	-14.2628	-54.7034
bakh1245	Bakhtiari	Indo-European	Eurasia	32.0163	49.7713
bako1249	Bakoko	Atlantic-Congo	Africa	3.56518	9.99905
bako1250	Bakole	Atlantic-Congo	Africa	4.43654	8.97387
bala1302	Balanta-Ganja	Atlantic-Congo	Africa	12.5382	-15.6658
bali1278	Balinese	Austronesian	Papunesia	-8.35714	115.075
balt1258	Balti	Sino-Tibetan	Eurasia	34.4491	77.2859
bamb1262	Bambassi	Blue Nile Mao	Africa	9.82554	34.6522
bamb1265	Bambalang	Atlantic-Congo	Africa	5.861	10.544
bamb1269	Bambara	Mande	Africa	12.0401	-9.98949
bame1260	Bamenyam	Atlantic-Congo	Africa	5.77049	10.3302
bamu1253	Bamun	Atlantic-Congo	Africa	5.49017	10.8477
bamu1256	Bamunka	Atlantic-Congo	Africa	6.00203	10.5127
bana1305	Bana	Afro-Asiatic	Africa	10.3535	13.6131
band1337	Bandjigali	Bookkeeping	Australia	-30.0771	143.282
band1345	Banda-Ndélé	Atlantic-Congo	Africa	8.03339	23.9021
band1352	Bandi	Mande	Africa	7.73729	-10.1684
band1353	Banda Malay	Austronesian	Papunesia	-4.55565	129.905
bang1339	Banggarla	Pama-Nyungan	Australia	-33.3036	136.079
bang1356	Bangolan	Atlantic-Congo	Africa	6.0125	10.667
bani1255	Baniwa do Icana	Arawakan	South America	2.17859	-67.7704
