GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
b̀	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
b̂	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
b̏	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
b̥	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
b͡ç	-	o	o	-	-	-	-	.	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡d	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡dz	-	o	o	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡dʒ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡g	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
b͡tʃ	-	o	o	-	-	-	-	.	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡ɗ	-	o	o	-	-	-	-	+	.	-	-	-	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
b͡ʝ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
c	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cç	-	o	o	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cçʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cçʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cɕ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cɕʰ	-	o	o	-	-	-	-	-	-	-	-	+	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cɕʼ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cʃ	-	o	o	-	-	-	-	-	-	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
cʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
cˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
c̀ɕ	-	o	o	-	-	-	-	-	+	-	-	+	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
ç	-	o	o	-	-	-	+	-	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
çʷ	-	x	x	-	-	-	+	-	-	-	-	-	-	n	-	n	-	+	-	+	-	+	n	+	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
c	-	o	o	-	-	-	-	-	-	-	+	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
d	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dl	-	o	o	-	-	-	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dx	-	o	o	-	-	-	-	.	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
dz	-	o	o	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dzx	-	o	o	-	-	-	-	.	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
dzɣw	-	x	x	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
dzʰ	-	o	o	-	-	-	-	+	-	-	-	+	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dzʲ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
dzʷ	-	x	x	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
dzʼ	-	o	o	-	-	-	-	+	+	-	-	+	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
dzʼkxʼ	-	o	o	-	-	-	-	.	+	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
dð	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	.	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
