GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
e̝	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̝ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ẽ̝	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̞	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̤	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̤ː	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ẽ̤	+	x	x	+	+	+	+	+	-	-	+	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̥	+	x	x	+	+	+	+	-	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̯	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
e̯a	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
e̯o	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+
f	-	o	o	-	-	-	+	-	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
fʃ	-	o	o	-	-	-	+	-	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
fʲ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
fʷ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
fʼ	-	o	o	-	-	-	+	-	+	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
fː	-	o	o	-	-	-	+	-	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	+	-	.	.	.	.	.	.	-	+	-	-
fˡ	-	o	o	-	-	-	+	-	-	+	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
fˤ	-	x	x	-	-	-	+	-	-	-	-	+	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
g	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gkxʼ	-	o	o	-	-	-	-	.	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǀ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǀkx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǀx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǀʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǁ	-	o	o	-	-	-	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǁkx	-	o	o	-	-	-	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǁx	-	o	o	-	-	-	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǁʰ	-	o	o	-	-	-	-	+	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǂ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǂkx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǂx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǂʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	-	n	-	+	o	+	-	+	n	+	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǃ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǃkx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǃx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gǃʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gʘ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
gʘkx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
gʘx	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
gʘʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
gʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
gʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
gʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
gʷː	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	+	-	.	.	.	.	.	.	+	+	+	+
gː	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	+
gˤ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
ĝ	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
ĝ͡b̂	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
g̥	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
g͡b	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
g͡bʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	+
g͡bʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
g͡p	-	o	o	-	-	-	-	.	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
g͡ɓ	-	o	o	-	-	-	-	+	.	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
h	-	n	n	-	-	+	+	-	-	-	-	-	+	n	n	n	n	o	o	-	o	n	n	n	n	o	o	o	o	o	o	o	-	-	.	.	.	.	.	.	-	-	-	-
hʲ	-	x	x	-	-	+	+	-	-	-	-	-	+	n	n	-	-	o	+	+	o	n	+	+	n	o	o	o	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
hʷ	-	x	x	-	-	+	+	-	-	-	-	-	+	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
hʷː	-	x	x	-	-	+	+	-	-	-	-	-	+	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	+	-	-	+	-	.	.	.	.	.	.	+	+	-	-
hˤ	-	x	x	-	-	+	+	-	-	-	-	-	+	n	n	n	n	o	-	-	o	n	n	n	n	o	o	o	+	-	-	-	-	-	.	.	.	.	.	.	+	-	-	-
h̃	-	n	n	-	-	+	+	-	-	-	+	-	+	n	n	n	n	o	o	-	o	n	n	n	n	o	o	o	o	o	o	o	-	-	.	.	.	.	.	.	-	-	-	-
i	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ia	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ie	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ij	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	+
iə	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
iɛ	+	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
iʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
iʔi	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
iː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
iːː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	+	.	.	.	.	.	.	-	-	+	-
iˤ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	+	-	+	-	-	-	.	.	.	.	.	.	+	-	+	-
ĩ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ĩʔ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ĩʔĩ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ĩː	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
i̝	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
i̝ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
i̞	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
i̟	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
i̤	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
i̤e̤	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
i̤ː	+	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
i̥	+	x	x	+	+	+	+	-	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
i̯e	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
i̯o	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	+	+	+
ḭ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ḭː	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
i̺	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	+	+	-	+	+	-	n	-	-	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
j	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
je	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
jeː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
jẽ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
jʰ	-	x	x	+	+	+	+	+	-	-	-	-	+	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
jʷ	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	+	+	-
jʼ	-	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
jː	-	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
ĵ	-	x	x	+	+	+	+	+	-	-	-	-	-	-	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
j̃	-	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
j̥	-	x	x	+	+	+	+	-	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-
k	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kf	-	o	o	-	-	-	-	.	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
klʼ	-	o	o	-	-	-	-	-	+	+	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kxʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kxʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kʰ	-	o	o	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kʰʲ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
kʰʷ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	+
kʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
kʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
kʷɦ	-	x	x	-	-	-	-	-	-	-	-	-	+	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
kʷʼ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	-	+	-	-	-	-	.	.	.	.	.	.	-	+	+	+
kʷː	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	+	-	.	.	.	.	.	.	+	+	+	+
kʼ	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
kʼʲ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	-	-	-	+	+	-	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	+
kʼʷ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
kː	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	+
kˤ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	+
k̀	-	o	o	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
k̀ʷ	-	x	x	-	-	-	-	-	+	-	-	-	-	n	n	n	n	-	-	-	-	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
k̂	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
k̂͡p̂	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
k͡p	-	o	o	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	+
k͡pʲ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	+	+	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	+
k͡pʷ	-	x	x	-	-	-	-	-	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	+	+	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	+
k	-	o	o	-	-	-	-	-	-	-	+	-	-	n	n	n	n	-	o	-	-	n	n	n	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
l	-	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
lǃ	-	o	o	-	-	-	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	+	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	+
lɥ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	+	+	+	-	-	-	.	.	.	.	.	.	+	+	+	-
lʰ	-	o	o	+	-	+	-	+	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
lʲ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
lʷ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	+	-
lʼ	-	o	o	+	-	+	-	+	+	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
lː	-	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	+	-	.	.	.	.	.	.	-	-	+	-
lˠ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	-	-	+	+	-	-	.	.	.	.	.	.	-	-	+	+
lˠʷ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	+	+	+	-	-	.	.	.	.	.	.	+	+	+	+
lˤ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	-	+	-	-	n	-	x	-	+	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	+	-
l̃	-	o	o	+	-	+	-	+	-	+	+	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̟	-	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̟ʲ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	-	+	+	+	+	-	-	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
l̤	-	o	o	+	-	+	-	+	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̥	-	o	o	+	-	+	-	-	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̥ʰ	-	o	o	+	-	+	-	-	-	+	-	-	+	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̩	+	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̪	-	o	o	+	-	+	-	+	-	+	-	-	-	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̪ʰ	-	o	o	+	-	+	-	+	-	+	-	-	+	n	+	n	+	+	o	+	-	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	-	+	-
l̪ʲ	-	x	x	+	-	+	-	+	-	+	-	-	-	n	+	-	+	+	+	+	-	+	+	+	x	-	+	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
