GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
s͡kʷ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	.	-	+	.	.	+	.	-	n	-	-
t	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
tç	-	-	+	-	-	-	-	-	-	-	-	n	.	n	.	-	-	.	-	-	.	+	n	-	-
tçʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	.	-	-	.	-	-	.	+	n	-	-
tl	-	-	+	-	-	-	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
tlʰ	-	-	+	-	-	-	-	+	-	-	+	n	+	n	-	-	+	+	-	-	-	-	n	-	-
tlʼ	-	-	+	-	-	-	+	+	-	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
tr	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
ts	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	+	n	-	-
tsjʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	+	-	+	+	-	-	-	+	n	-	-
tswʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	+	+	-	+	-	+	n	-	-
tsx	-	-	+	-	-	-	-	-	-	.	-	n	.	n	.	.	+	.	.	-	.	+	n	-	-
tsʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	+	+	-	-	-	+	n	-	-
tsʰʷ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	+	+	-	+	-	+	n	-	-
tsʲ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	+	+	-	-	-	+	n	-	-
tsʷ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	+	-	+	n	-	-
tsʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	+	n	-	-
tsʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	+	n	.	-	+	.	.	-	.	+	n	-	-
tsʼʷ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	-	-	+	+	-	+	-	+	n	-	-
ts̀	-	-	+	-	-	-	-	-	-	+	-	n	+	n	-	-	+	+	-	-	-	+	n	-	-
ts͡kʷ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	.	-	+	.	.	+	.	.	n	-	-
tx	-	-	+	-	-	-	-	-	-	-	-	n	.	n	.	.	.	.	.	-	.	-	n	-	-
tz	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	+	n	-	-
tzʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	+	n	-	-
tɕ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
tɕɥ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	-	+	-	+	+	+	n	-	-
tɕʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	+	-	-	+	-	-	+	+	n	-	-
tɦ	-	-	+	-	-	-	-	-	-	-	+	n	.	n	-	-	+	+	-	-	-	-	n	-	-
tɬ	-	-	+	-	-	-	-	+	-	-	-	n	.	n	-	-	+	+	-	-	.	+	n	-	-
tɬʰ	-	-	+	-	-	-	-	+	-	-	+	n	+	n	-	-	+	+	-	-	.	+	n	-	-
tɬʼ	-	-	+	-	-	-	+	+	-	-	-	+	+	n	-	-	+	+	-	-	.	+	n	-	-
tɸʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	-	-	+	.	-	-	.	+	n	-	-
tʂ	-	-	+	-	-	-	-	.	-	+	-	n	.	n	.	.	-	+	.	-	-	+	n	-	-
tʂʼ	-	-	+	-	-	-	+	.	-	+	-	+	+	n	.	.	-	+	.	-	-	+	n	-	-
tʃ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
tʃɦ	-	-	+	-	-	-	-	-	-	+	+	n	.	n	+	-	-	+	-	-	+	+	n	-	-
tʃʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	+	-	-	+	-	-	+	+	n	-	-
tʃʰʷ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	+	-	-	+	-	+	+	+	n	-	-
tʃʲ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
tʃʷ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	+	+	+	n	-	-
tʃʷʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	+	-	-	+	-	+	+	+	n	-	-
tʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	+	-	-	+	-	-	+	+	n	-	-
tʃˤ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	+	-	+	+	-	+	+	n	-	-
tʃ̀	-	-	+	-	-	-	-	-	-	+	-	n	+	n	+	-	-	+	-	-	+	+	n	-	-
tʃ͡k	-	-	+	+	-	-	-	-	-	+	-	n	.	n	+	-	-	+	.	-	+	.	n	-	-
tʃ͡kʷ	-	-	+	-	-	-	-	-	-	.	-	n	.	n	+	-	-	+	.	+	+	.	n	-	-
tʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	-	-	+	+	-	-	-	-	n	-	-
tʰʷ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	-	-	+	+	-	+	-	-	n	-	-
tʲ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	+	+	-	-	-	-	n	-	-
tʲʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	+	+	-	-	-	-	n	-	-
tʲʼ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	+	-	+	+	-	-	-	-	n	-	-
tʷ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	+	-	-	n	-	-
tʼ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
tʼkxʼ	-	-	+	-	-	-	+	-	-	.	-	+	+	n	.	-	+	.	.	-	.	+	n	-	-
tʼʷ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	+	-	-	n	-	-
tː	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	+	-
tːʃ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	+	-
tːʃː	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	+	+
tˠ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	+	+	+	-	-	-	n	-	-
tˤ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	+	+	+	+	-	-	-	n	-	-
t̀	-	-	+	-	-	-	-	-	-	-	-	n	+	n	-	-	+	+	-	-	-	-	n	-	-
t̂	-	-	+	-	-	-	-	-	-	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
t̪	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	-	n	-	-
t̪s̪	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	+	n	-	-
t̪s̪ɦ	-	-	+	-	-	-	-	-	-	+	+	n	.	n	-	-	+	+	-	-	+	+	n	-	-
t̪s̪ʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	+	+	-	-	+	+	n	-	-
t̪s̪ʰʷ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	-	-	+	+	-	+	+	+	n	-	-
t̪s̪ʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	+	+	n	-	-
t̪s̪ː	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	+	n	+	-
t̪ʃ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	.	-	.	.	-	-	+	+	n	-	-
t̪ʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	-	-	+	+	-	-	+	-	n	-	-
t̪ʲ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	+	+	-	-	+	-	n	-	-
t̪ʷ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	+	+	-	n	-	-
t̪ʼ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	+	-	n	-	-
t̪ː	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	+	-	n	+	-
t̪ˤ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	+	+	+	+	-	+	-	n	-	-
t̪ˤː	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	+	+	+	+	-	+	-	n	+	-
t̪̀	-	-	+	-	-	-	-	-	-	-	-	n	+	n	-	-	+	+	-	-	+	-	n	-	-
t̪͡c	-	-	+	-	-	-	-	-	-	-	-	n	.	n	.	-	.	.	-	-	+	-	n	-	-
t̪͡k	-	-	+	-	-	-	-	-	-	-	-	n	.	n	.	-	.	.	.	-	.	-	n	-	-
t̪θ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	+	n	-	-
t̪ⁿ	-	-	+	-	-	-	-	-	+	-	-	n	.	n	-	-	+	+	-	-	+	-	n	-	-
t̺s̺ʲ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	+	+	-	-	+	+	n	-	-
t̻s̻	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	+	n	-	-
t̻ɕ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	.	-	-	+	-	-	+	+	n	-	-
t̻ɕʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	.	-	-	+	-	-	+	+	n	-	-
t̻ɕʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	.	-	-	+	-	-	+	+	n	-	-
t̻ʃ̻	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
tθ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	+	n	-	-
tθʼ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	.	+	n	-	-
tⁿ	-	-	+	-	-	-	-	-	+	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
u	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ua	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	.	-	-	+	.	n	n	n	+	-
ui	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	.	.	n	n	n	+	-
uj	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	.	-	n	n	n	+	-
uo	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	+	n	n	n	+	-
uw	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	.	+	n	n	n	+	-
uɔ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	+	+	n	n	n	+	-
uə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	.	n	n	n	+	-
uʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	+	-	-	-	+	+	n	n	n	-	-
uʔu	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	+	+	n	n	n	-	-
uː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	+	-
uːː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	+	+
uˤ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	+	-	-	+	+	n	n	n	-	-
uˤʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	+	+	-	-	+	+	n	n	n	-	-
ũ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ũʔ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	+	-	-	-	+	+	n	n	n	-	-
ũʔũ	+	+	-	+	+	+	+	n	+	-	-	-	+	-	+	-	-	-	+	+	n	n	n	-	-
ũː	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	+	+	n	n	n	+	-
ũˤ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	+	-	-	+	+	n	n	n	-	-
u̝	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
u̝ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	+	-
u̞	+	+	-	+	+	+	-	n	-	-	-	n	.	-	+	-	-	-	+	+	n	n	n	-	-
ṳ	+	+	-	+	+	+	-	n	-	-	+	n	+	-	+	-	-	-	+	+	n	n	n	-	-
ṳo̤	+	+	-	+	+	+	-	n	-	-	+	n	+	-	.	-	-	-	+	+	n	n	n	+	-
ṳʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	-	+	-	-	-	+	+	n	n	n	-	-
ṳː	+	+	-	+	+	+	-	n	-	-	+	n	+	-	+	-	-	-	+	+	n	n	n	+	-
ṳˤ	+	+	-	+	+	+	-	n	-	-	+	n	+	-	+	+	-	-	+	+	n	n	n	-	-
ṳ̃	+	+	-	+	+	+	-	n	+	-	+	n	-	-	+	-	-	-	+	+	n	n	n	-	-
ṳ̃ˤ	+	+	-	+	+	+	-	n	+	-	+	n	+	-	+	+	-	-	+	+	n	n	n	-	-
u̥	+	-	-	+	+	-	-	n	-	-	-	n	+	-	+	-	-	-	+	+	n	n	n	-	-
u̯o	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	+	n	n	n	+	-
ṵ	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	+	+	n	n	n	-	-
ṵː	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	+	+	n	n	n	+	-
v	-	-	+	-	+	+	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
vɾ	-	+	+	+	-	+	-	n	-	-	-	n	.	n	-	-	+	-	-	-	-	.	n	-	-
vʰ	-	-	+	-	+	+	-	n	-	+	+	n	+	n	-	-	+	-	-	-	-	n	n	-	-
vʲ	-	-	+	-	+	+	-	n	-	+	-	n	.	n	+	-	+	-	-	-	-	n	n	-	-
vʷ	-	-	+	-	+	+	-	n	-	+	-	n	.	n	-	-	+	-	-	+	-	n	n	-	-
vˡ	-	-	+	-	+	+	-	+	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
vˤ	-	-	+	-	+	+	-	n	-	+	-	n	.	n	-	+	+	-	+	-	-	n	n	-	-
ṽʲ	-	-	+	-	+	+	-	n	+	+	-	n	-	n	+	-	+	-	-	-	-	n	n	-	-
v̌	-	+	+	+	+	+	-	n	-	-	+	n	.	n	-	-	+	-	-	-	-	n	n	-	-
v̤	-	-	+	-	+	+	-	n	-	+	+	n	.	n	-	-	+	-	-	-	-	n	n	-	-
v̥	-	-	+	-	+	-	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	n	n	-	-
w	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	-	-
w*	-	-	-	+	+	+	-	n	-	-	-	n	-	n	+	-	+	-	+	-	.	n	n	-	-
wɦ	-	-	-	+	+	+	-	n	-	-	+	n	.	n	+	-	+	-	+	-	.	n	n	-	-
wʰ	-	-	-	+	+	+	-	n	-	-	-	n	+	n	+	-	+	-	+	+	.	n	n	-	-
wʲ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	-	-
wʼ	-	-	-	+	+	+	+	n	-	-	-	+	+	n	+	-	+	-	+	+	.	n	n	-	-
wː	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	+	-
wˤ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	+	+	-	+	-	.	n	n	-	-
w̃	-	-	-	+	+	+	-	n	+	-	-	n	-	n	+	-	+	-	+	-	.	n	n	-	-
x	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	n	n	-	-
xʰ	-	-	+	-	+	-	-	n	-	-	+	n	+	n	+	-	-	-	+	-	.	n	n	-	-
xʲ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
xʷ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	n	n	-	-
xʼ	-	-	+	-	+	-	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	n	n	-	-
xː	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	n	n	+	-
x̀	-	-	+	-	+	-	-	n	-	-	-	n	+	n	+	-	-	-	+	-	.	n	n	-	-
x̀ʷ	-	-	+	-	+	-	-	n	-	-	-	n	+	n	+	-	-	-	+	+	.	n	n	-	-
x͡ɸ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	n	n	-	-
y	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	+	n	n	n	-	-
yi	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	.	n	n	n	+	-
yː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	+	n	n	n	+	-
ỹ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	-	+	n	n	n	-	-
z	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
zʲ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	+	+	-	-	-	n	n	-	-
zʷ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	+	-	+	-	n	n	-	-
zʷ͡ɣw	-	-	+	-	+	+	-	-	-	.	-	n	.	n	.	-	+	.	.	+	.	n	n	-	-
zʼ	-	-	+	-	+	+	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	n	n	-	-
zˤ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	+	+	+	+	-	-	n	n	-	-
z̤	-	-	+	-	+	+	-	-	-	+	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
z̪	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	-	-
z̪v	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	n	n	-	-
z̪ʲ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	-	+	+	-	-	+	n	n	-	-
z̪ː	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	+	-
z̪ˤ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	+	+	+	+	-	+	n	n	-	-
z̪ˤː	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	+	+	+	+	-	+	n	n	+	-
z̻	-	-	+	-	+	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	-	-
z̻ˤ	-	-	+	-	+	+	-	-	-	+	-	n	.	n	+	+	-	+	+	-	+	n	n	-	-
z͡ɣw	-	-	+	-	+	+	-	-	-	.	-	n	.	n	.	-	+	.	.	+	.	n	n	-	-
æ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	-	-	n	n	n	-	-
æː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	-	-	n	n	n	+	-
æ̃	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	+	-	-	-	-	n	n	n	-	-
æ̞	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	+	-	-	-	-	n	n	n	-	-
ð	-	-	+	-	+	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	n	n	-	-
ðn	-	-	+	.	+	-	-	-	+	-	-	n	-	n	-	-	+	+	-	-	.	n	n	-	-
ðʲ	-	-	+	-	+	+	-	-	-	-	-	n	.	n	+	-	+	+	-	-	.	n	n	-	-
ðˠ	-	-	+	-	+	+	-	-	-	-	-	n	.	n	+	-	+	+	+	-	.	n	n	-	-
ðˤ	-	-	+	-	+	+	-	-	-	-	-	n	.	n	-	+	+	+	+	-	.	n	n	-	-
ø	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	+	n	n	n	-	-
øə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	.	.	n	n	n	+	-
øː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	+	n	n	n	+	-
ø̆	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	-	+	n	n	n	-	+
ħ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	-	+	-	-	+	-	.	n	n	-	-
ħʷ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	-	+	-	-	+	+	.	n	n	-	-
ŋ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	+	-	.	-	n	-	-
ŋg̥	-	-	+	-	-	-	-	n	+	-	-	n	-	n	+	-	-	-	+	-	.	-	n	-	-
ŋkxʼ	-	-	+	-	-	-	+	n	+	-	-	+	+	n	+	-	-	-	+	-	.	+	n	-	-
ŋtw	-	-	+	-	-	-	-	-	+	-	-	n	.	n	-	-	+	+	-	+	-	-	n	-	-
ŋʰ	-	-	+	+	-	+	-	n	+	-	+	n	+	n	+	-	-	-	+	-	.	-	n	-	-
ŋʷ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	+	+	.	-	n	-	-
ŋʼ	-	-	+	+	-	+	+	n	+	-	-	+	+	n	+	-	-	-	+	-	.	-	n	-	-
ŋː	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	-	-	+	-	.	-	n	+	-
ŋ̥	-	-	+	+	-	-	-	n	+	-	-	n	-	n	+	-	-	-	+	-	.	-	n	-	-
ŋ̥ʰ	-	-	+	+	-	-	-	n	+	-	+	n	+	n	+	-	-	-	+	-	.	-	n	-	-
ŋ͡m	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	+	-	+	-	.	-	n	-	-
ŋ͡mʲ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	+	-	+	-	.	-	n	-	-
œ	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	+	n	n	n	-	-
œi	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	-	.	n	n	n	+	-
œu	+	+	-	+	+	+	-	n	-	-	-	n	-	-	.	-	-	-	.	+	n	n	n	+	-
œː	+	+	-	+	+	+	-	n	-	-	-	n	-	-	-	-	-	-	-	+	n	n	n	+	-
œ̃	+	+	-	+	+	+	-	n	+	-	-	n	-	-	-	-	-	-	-	+	n	n	n	-	-
ǀ	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
ǀkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	+	-	+	+	+	-	+	-	+	-	-
ǀn	-	-	+	-	-	-	-	-	+	-	-	n	.	n	+	-	+	+	+	-	+	-	-	-	-
ǀn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
ǀq	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
ǀqʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	+	+	+	-	+	-	-	-	-
ǀqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	n	+	-	+	+	+	-	+	-	-	-	-
ǀs	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	+	+	-	-
ǀx	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	+	+	+	-	-
ǀʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	+	+	+	-	+	-	-	-	-
ǀʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	+	+	+	-	+	-	-	-	-
ǁ	-	-	+	-	-	-	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
ǁkxʔ	-	-	+	-	-	-	+	+	-	-	-	+	+	n	+	-	+	+	+	-	.	-	+	-	-
ǁn	-	-	+	-	-	+	-	+	+	-	-	n	.	n	+	-	+	+	+	-	.	-	-	-	-
ǁn̥	-	-	+	-	-	+	-	+	+	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
ǁq	-	-	+	-	-	-	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
ǁqʔ	-	-	+	-	-	-	+	+	-	-	-	-	+	n	+	-	+	+	+	-	.	-	-	-	-
ǁqʰ	-	-	+	-	-	-	-	+	-	-	+	n	n	n	+	-	+	+	+	-	.	-	-	-	-
ǁx	-	-	+	-	-	-	-	+	-	-	-	n	n	n	+	-	+	+	+	-	.	+	+	-	-
ǁʔ	-	-	+	-	-	-	+	+	-	-	-	-	+	n	+	-	+	+	+	-	.	-	-	-	-
ǁʰ	-	-	+	-	-	-	-	+	-	-	+	n	+	n	+	-	+	+	+	-	.	-	-	-	-
ǂ	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
ǂkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	+	-	-	+	+	-	+	-	+	-	-
ǂn	-	-	+	-	-	-	-	-	+	-	-	n	.	n	+	-	-	+	+	-	+	-	-	-	-
ǂn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
ǂq	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
ǂqʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	-	+	+	-	+	-	-	-	-
ǂqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	n	+	-	-	+	+	-	+	-	-	-	-
ǂx	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	-	+	+	-	+	+	+	-	-
ǂʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	-	+	+	-	+	-	-	-	-
ǂʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	-	+	+	-	+	-	-	-	-
ǃ	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
ǃd	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
ǃkxʔ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	+	-	+	+	+	-	-	-	+	-	-
ǃn	-	-	+	-	-	-	-	-	+	-	-	n	.	n	+	-	+	+	+	-	-	-	-	-	-
ǃn̥	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
ǃq	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
ǃqʔ	-	-	+	-	-	-	+	-	-	-	-	-	+	n	+	-	+	+	+	-	-	-	-	-	-
ǃqʰ	-	-	+	-	-	-	-	-	-	-	+	n	n	n	+	-	+	+	+	-	-	-	-	-	-
ǃr	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	n	-	-
ǃs	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	+	+	-	-
ǃt	-	-	+	-	-	-	-	-	-	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
