GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
cɕʰ	-	-	+	-	-	-	-	-	-	-	+	n	+	n	+	-	-	.	-	-	+	+	n	-	-
cɕʼ	-	-	+	-	-	-	+	-	-	-	-	+	+	n	+	-	-	.	-	-	+	+	n	-	-
cʃ	-	-	+	-	-	-	-	-	-	+	-	n	.	n	+	-	-	.	-	-	+	+	n	-	-
cʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	-	-	.	-	n	-	-
cʷ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	-	n	-	-
cʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	-	n	-	-
cˤ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	+	-	-	+	-	.	-	n	-	-
c̀ɕ	-	-	+	-	-	-	-	-	-	-	-	n	+	n	+	-	-	.	-	-	+	+	n	-	-
ç	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
çʷ	-	-	+	-	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	n	n	-	-
c	-	-	+	-	-	-	-	n	+	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
d	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
dl	-	-	+	-	-	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
dx	-	-	+	-	-	.	-	-	-	-	-	n	.	n	.	.	.	.	.	-	.	-	n	-	-
dz	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	+	n	-	-
dzx	-	-	+	-	-	.	-	-	-	.	-	n	.	n	.	-	+	.	.	-	.	+	n	-	-
dzɣw	-	-	+	-	-	+	-	-	-	.	-	n	.	n	.	-	+	.	.	+	.	+	n	-	-
dzʰ	-	-	+	-	-	+	-	-	-	+	+	n	+	n	-	-	+	+	-	-	-	+	n	-	-
dzʲ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	+	+	-	-	-	+	n	-	-
dzʷ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	+	-	+	-	+	n	-	-
dzʼ	-	-	+	-	-	+	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	+	n	-	-
dzʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	+	n	.	-	+	.	.	-	.	+	n	-	-
dð	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	+	-	-	.	+	n	-	-
dɣw	-	-	+	-	-	+	-	-	-	-	-	n	.	n	.	-	.	.	.	+	.	+	n	-	-
dʐ	-	-	+	-	-	+	-	.	-	+	-	n	.	n	.	.	-	+	.	-	-	+	n	-	-
dʑ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	+	-	-	+	-	-	+	+	n	-	-
