GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
əi	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
əo	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
əu	+	-	-	+	-	-	-	+	-	-	+	+	.	+	-
əː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ə˞	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
əˤ	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ə̃	+	-	-	+	-	+	-	-	-	-	-	+	-	-	-
ə̃ː	+	-	-	+	-	+	-	-	-	-	-	+	-	+	-
ə̆	+	-	-	+	-	-	-	-	-	-	-	+	-	-	+
ə̝	+	-	-	+	-	-	-	+	-	-	-	+	-	-	-
ə̟	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ə̯i	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ɛ	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
ɛi̯	+	-	-	+	-	-	-	-	-	-	+	.	-	+	-
ɛʔ	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-
ɛː	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-
ɛ̃	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-
ɛ̃ʔ	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-
ɛ̃ː	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-
ɛ̘	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
ɛ̞	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-
ɛ̥	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɜ	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ɜː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ɟ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɟʑ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
ɟʝ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɟʰ	-	+	+	+	-	-	-	+	+	-	-	-	-	-	-
ɟʷ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɟ̥	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ɠ	-	+	+	+	-	-	-	.	+	-	-	+	-	-	-
ɠʲ	-	+	+	+	-	-	-	.	+	+	-	+	-	-	-
ɠʷ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
ɠ̥	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
ɠ͡ɓ	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
ɢ	-	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ɢˤ	-	+	+	+	-	-	+	.	+	-	-	+	+	-	-
ɣ	-	+	-	+	-	-	-	.	+	-	-	+	-	-	-
ɣʰ	-	+	-	+	-	-	-	+	+	-	-	+	-	-	-
ɣʲ	-	+	-	+	-	-	-	.	+	+	-	+	-	-	-
ɣʷ	-	+	-	+	-	-	-	.	+	-	-	+	+	-	-
ɣʼ	-	+	-	+	+	-	-	.	+	-	-	+	-	-	-
ɣː	-	+	-	+	-	-	-	.	+	-	-	+	-	+	-
ɣ̀	-	+	-	+	-	-	-	+	+	-	-	+	-	-	-
ɣ͡β	-	+	-	+	-	-	-	.	-	-	-	+	-	-	-
ɤ	+	-	-	+	-	-	-	+	-	-	-	+	-	-	-
ɤː	+	-	-	+	-	-	-	+	-	-	-	+	-	+	-
ɥ	-	-	-	+	-	-	-	.	-	-	-	.	-	-	-
ɥ̥	-	-	-	-	-	-	-	.	-	-	-	.	-	-	-
ɦ	-	-	-	+	-	-	-	+	.	-	.	.	-	-	-
ɦʲ	-	-	-	+	-	-	-	+	.	+	.	.	-	-	-
ɦʷ	-	-	-	+	-	-	-	+	.	-	.	.	+	-	-
ɦ̃	-	-	-	+	-	+	-	+	.	-	.	.	-	-	-
ɨ	+	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ɨʔɨ	+	-	-	+	+	-	-	+	-	-	+	+	-	-	-
ɨː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɨːː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	+
ɨ˞	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ɨ̃	+	-	-	+	-	+	-	+	-	-	+	+	-	-	-
ɨ̃ʔɨ̃	+	-	-	+	+	+	-	+	-	-	+	+	-	-	-
ɨ̃ː	+	-	-	+	-	+	-	+	-	-	+	+	-	+	-
ɨ̞	+	-	-	+	-	-	-	-	-	-	+	+	-	-	-
ɪ	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
ɪɛ	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ɪː	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ɪ̃	+	-	-	+	-	+	-	-	-	-	+	-	-	-	-
ɪ̃ː	+	-	-	+	-	+	-	-	-	-	+	-	-	+	-
ɪ̘	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
ɪ̥	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-
ɬ	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
ɬʷ	-	+	-	-	-	-	-	.	-	-	+	-	+	-	-
ɬʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
ɬ̀	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-
ɭ	+	+	-	+	-	-	-	.	+	-	-	-	+	-	-
ɮ	-	+	-	+	-	-	-	.	-	-	+	-	-	-	-
ɯ	+	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ɯə	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɯː	+	-	-	+	-	-	-	+	-	-	+	+	-	+	-
ɯ̃	+	-	-	+	-	+	-	+	-	-	+	+	-	-	-
ɰ	-	-	-	+	-	-	-	.	+	-	-	+	-	-	-
ɰʼ	-	-	-	+	+	-	-	.	+	-	-	+	-	-	-
ɱ̥f	-	+	-	-	-	.	+	.	-	-	+	+	-	-	-
ɲ	-	+	+	+	-	+	-	.	+	-	-	-	-	-	-
ɲɥ	-	+	+	+	-	+	-	.	+	+	-	-	+	-	-
ɲʰ	-	+	+	+	-	+	-	+	+	-	-	-	-	-	-
ɲː	-	+	+	+	-	+	-	.	+	-	-	-	-	+	-
ɲ̥	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ɲ̥cʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
ɲ̥ʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
ɲ̥ʰ	-	+	+	-	-	+	-	+	+	-	-	-	-	-	-
ɲ͡n̪	-	+	+	+	-	+	-	.	.	-	.	-	-	-	-
ɲ͡ŋ	-	+	+	+	-	+	-	.	+	-	-	.	-	-	-
ɲ͡ŋw	-	+	+	+	-	+	-	.	+	-	-	.	+	-	-
ɳ	-	+	+	+	-	+	-	.	+	-	-	-	+	-	-
ɳɖɽ	-	+	+	+	-	.	-	.	+	-	-	-	+	-	-
ɳʷ	-	+	+	+	-	+	-	.	+	-	-	-	+	-	-
ɴ	-	+	+	+	-	+	+	.	+	-	-	+	-	-	-
ɴʼ	-	+	+	+	+	+	+	.	+	-	-	+	-	-	-
ɵ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
ɸ	-	+	-	-	-	-	-	.	-	-	+	+	-	-	-
ɹ	+	-	-	+	-	-	-	.	-	-	+	-	-	-	-
ɹː	+	-	-	+	-	-	-	.	-	-	+	-	-	+	-
ɺ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɻ	+	-	-	+	-	-	-	.	+	-	-	-	+	-	-
ɽ	+	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɽʰ	+	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɾ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾð	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
ɾˡ	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ɾ̃	+	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ɾ̪	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɾ̪ˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ʀ	+	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ʀʼ	+	+	+	+	+	-	+	.	+	-	-	+	-	-	-
ʁ	-	+	-	+	-	-	+	.	+	-	-	+	-	-	-
ʁʲ	-	+	-	+	-	-	+	.	+	+	-	+	-	-	-
ʁʷ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
ʁː	-	+	-	+	-	-	+	.	+	-	-	+	-	+	-
ʁˤ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
ʁˤʷ	-	+	-	+	-	-	+	.	+	-	-	+	+	-	-
ʂ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʂʰ	-	+	-	-	-	-	+	+	+	-	-	-	+	-	-
ʃ	-	+	-	-	-	-	+	.	+	-	-	-	-	-	-
ʃtʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
ʃʲ	-	+	-	-	-	-	+	.	+	+	-	-	-	-	-
ʃʷ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʃʼ	-	+	-	-	+	-	+	.	+	-	-	-	-	-	-
ʃʼʷ	-	+	-	-	+	-	+	.	-	-	+	-	+	-	-
ʃː	-	+	-	-	-	-	+	.	+	-	-	-	-	+	-
ʃ̀	-	+	-	-	-	-	+	+	+	-	-	-	-	-	-
ʃ̥ʷ	-	+	-	-	-	-	+	.	+	-	-	-	+	-	-
ʃ͡kʷ	-	+	.	-	-	-	-	.	+	-	-	.	+	-	-
ʄ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ʄ̥	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ʈ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ʈɽ	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ʈʂ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
ʈʂʰ	-	+	+	-	-	-	+	+	+	-	-	-	+	-	-
ʈʂʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
ʈʰ	-	+	+	-	-	-	-	+	+	-	-	-	+	-	-
ʈʲ	-	+	+	-	-	-	-	.	+	+	-	-	+	-	-
ʈʲʰ	-	+	+	-	-	-	-	+	+	+	-	-	+	-	-
ʈⁿ	-	+	+	-	-	.	-	.	+	-	-	-	+	-	-
ʉ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ʉ̃ⁿ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
ʉ̟ː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ʊ	+	-	-	+	-	-	-	-	-	-	+	+	+	-	-
ʊɔ	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
ʊʏ̯	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ʊː	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
ʊ̃	+	-	-	+	-	+	-	-	-	-	+	+	+	-	-
ʊ̃ː	+	-	-	+	-	+	-	-	-	-	+	+	+	+	-
ʊ̘	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ʊ̥	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-
ʋ	-	-	-	+	-	-	-	.	-	-	+	+	-	-	-
ʋ*	-	-	-	+	-	-	-	-	-	-	+	+	-	-	-
ʋʰ	-	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ʋʲ	-	-	-	+	-	-	-	.	-	+	+	+	-	-	-
ʋ̃	-	-	-	+	-	+	-	.	-	-	+	+	-	-	-
ʌ	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ʌ̃	+	-	-	+	-	+	-	-	-	-	-	+	-	-	-
ʌ̃ː	+	-	-	+	-	+	-	-	-	-	-	+	-	+	-
ʌ̆	+	-	-	+	-	-	-	-	-	-	-	+	-	-	+
ʌ̝	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌ̤	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
ʌ̤ː	+	-	-	+	-	-	-	-	-	-	-	+	-	+	-
ʍ	-	-	-	-	-	-	-	.	-	-	-	+	-	-	-
ʎ	+	+	-	+	-	-	-	.	+	-	-	-	-	-	-
ʎ̥	-	+	-	-	-	-	-	.	+	-	-	-	-	-	-
ʏ	+	-	-	+	-	-	-	-	-	-	+	-	+	-	-
ʐ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʑ	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒʰ	-	+	-	+	-	-	+	+	+	-	-	-	-	-	-
ʒʲ	-	+	-	+	-	-	+	.	+	+	-	-	-	-	-
ʒʷ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʒː	-	+	-	+	-	-	+	.	+	-	-	-	-	+	-
ʒ̤	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ̥	-	+	-	+	-	-	+	.	+	-	-	-	-	-	-
ʒ̥ʷ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
ʒ͡ɣw	-	+	-	+	-	-	.	.	+	-	-	.	+	-	-
ʔ	-	-	+	-	-	-	-	.	.	-	.	.	-	-	-
ʔb	-	+	+	+	+	-	-	.	-	-	+	+	-	-	-
ʔd	-	+	+	+	+	-	-	.	-	-	+	-	-	-	-
ʔj	-	-	-	+	+	-	-	.	+	-	-	-	-	-	-
ʔk	-	+	+	-	+	-	-	.	+	-	-	+	-	-	-
ʔl	+	+	-	+	+	-	-	.	-	-	+	-	-	-	-
ʔm	-	+	+	+	+	+	-	.	-	-	+	+	-	-	-
ʔn	-	+	+	+	+	+	-	.	-	-	+	-	-	-	-
ʔp	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʔt	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ʔw	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
ʔǀn	-	+	+	-	+	+	-	.	-	-	+	-	-	-	-
ʔǁn	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
ʔǂn	-	+	+	-	+	+	-	.	+	-	-	-	-	-	-
ʔǃn	-	+	+	-	+	+	-	.	-	-	+	-	-	-	-
ʔʘn	-	+	+	-	+	.	-	.	-	-	+	-	-	-	-
ʔʷ	-	-	+	-	-	-	-	.	.	-	.	.	+	-	-
ʔˤ	-	-	+	-	-	-	-	.	.	-	.	.	+	-	-
ʕ	-	+	-	+	-	-	-	.	.	-	.	.	-	-	-
ʕʷ	-	+	-	+	-	-	-	.	.	-	.	.	+	-	-
ʕʼ	-	+	-	+	+	-	-	.	.	-	.	.	-	-	-
ʕʼʷ	-	+	-	+	+	-	-	.	.	-	.	.	+	-	-
ʘ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘkxʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʘn	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
ʘn̥	-	+	+	-	-	+	-	.	-	-	+	+	-	-	-
ʘq	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘqʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʘqʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
ʘx	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ʘʔ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
ʘʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
ʛ	-	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ʝ	-	+	-	+	-	-	-	.	+	-	-	-	-	-	-
ʝʼ	-	+	-	+	+	-	-	.	+	-	-	-	-	-	-
β	-	+	-	+	-	-	-	.	-	-	+	+	-	-	-
βm	-	+	-	+	-	+	-	.	-	-	+	+	-	-	-
θ	-	+	-	-	-	-	-	.	-	-	+	-	-	-	-
θʼ	-	+	-	-	+	-	-	.	-	-	+	-	-	-	-
χ	-	+	-	-	-	-	+	.	+	-	-	+	-	-	-
χʲ	-	+	-	-	-	-	+	.	+	+	-	+	-	-	-
χʷ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
χː	-	+	-	-	-	-	+	.	+	-	-	+	-	+	-
χˤ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
χˤʷ	-	+	-	-	-	-	+	.	+	-	-	+	+	-	-
χ̀	-	+	-	-	-	-	+	+	+	-	-	+	-	-	-
χ̀ʷ	-	+	-	-	-	-	+	+	+	-	-	+	+	-	-
ⁿc	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
ⁿd	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdl	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdlʼ	-	+	+	+	+	.	-	.	-	-	+	-	-	-	-
ⁿdz	-	+	+	+	-	.	+	.	-	-	+	-	-	-	-
ⁿdɮ	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdʒ	-	+	+	+	-	.	+	.	+	-	-	-	-	-	-
ⁿdʲ	-	+	+	+	-	.	-	.	-	+	+	-	-	-	-
ⁿdʷ	-	+	+	+	-	.	-	.	-	-	+	-	+	-	-
ⁿd̪	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿdβ	-	+	+	+	-	.	-	.	-	-	+	.	-	-	-
ⁿgʷ	-	+	+	+	-	.	-	.	+	-	-	+	+	-	-
ⁿk	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
ⁿr	+	+	+	+	-	.	-	.	-	-	+	-	-	-	-
ⁿs	-	+	-	-	-	.	+	.	-	-	+	-	-	-	-
ⁿt	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿts	-	+	+	-	-	.	+	.	-	-	+	-	-	-	-
ⁿtsʼ	-	+	+	-	+	.	+	.	-	-	+	-	-	-	-
ⁿtɬ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿtɸ	-	+	+	-	-	.	-	.	-	-	+	.	-	-	-
ⁿtʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
ⁿtʃʰʷ	-	+	+	-	-	.	+	+	+	-	-	-	+	-	-
ⁿtʃʷ	-	+	+	-	-	.	+	.	+	-	-	-	+	-	-
ⁿtʃʼ	-	+	+	-	+	.	+	.	+	-	-	-	-	-	-
ⁿtʰ	-	+	+	-	-	.	-	+	-	-	+	-	-	-	-
ⁿz	-	+	-	+	-	.	+	.	-	-	+	-	-	-	-
ⁿǀ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ⁿɖ	-	+	+	+	-	.	-	.	+	-	-	-	+	-	-
ⁿɟ	-	+	+	+	-	.	-	.	+	-	-	-	-	-	-
ⁿɬ	-	+	-	-	-	.	-	.	-	-	+	-	-	-	-
ⁿɮ	-	+	-	+	-	.	-	.	-	-	+	-	-	-	-
ⁿʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
ⁿʒ	-	+	-	+	-	.	+	.	+	-	-	-	-	-	-
b	-	+	+	+	-	.	-	.	-	-	+	+	-	-	-
bʲ	-	+	+	+	-	.	-	.	-	+	+	+	-	-	-
bʷ	-	+	+	+	-	.	-	.	-	-	+	+	+	-	-
d	-	+	+	+	-	.	-	.	-	-	+	-	-	-	-
dz	-	+	+	+	-	.	+	.	-	-	+	-	-	-	-
dʒ	-	+	+	+	-	.	+	.	+	-	-	-	-	-	-
f	-	+	-	-	-	.	+	.	-	-	+	+	-	-	-
g	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
g͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
k͡p	-	+	+	-	-	.	-	.	-	-	-	+	-	-	-
l	+	+	-	+	-	.	-	.	-	-	+	-	-	-	-
p	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
pʰ	-	+	+	-	-	.	-	+	-	-	+	+	-	-	-
pʼ	-	+	+	-	+	.	-	.	-	-	+	+	-	-	-
t	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
ts	-	+	+	-	-	.	+	.	-	-	+	-	-	-	-
tʃ	-	+	+	-	-	.	+	.	+	-	-	-	-	-	-
v	-	+	-	+	-	.	.	.	-	-	+	+	-	-	-
ɬ	-	+	-	-	-	.	-	.	-	-	+	-	-	-	-
ɲ	-	+	+	+	-	+	-	.	+	-	-	-	-	-	-
ʃ	-	+	-	-	-	.	+	.	+	-	-	-	-	-	-
b	-	+	+	+	-	.	-	.	-	-	+	+	-	-	-
c	-	+	+	-	-	.	-	.	+	-	-	-	-	-	-
g	-	+	+	+	-	.	-	.	+	-	-	+	-	-	-
gʷ	-	+	+	+	-	.	-	.	+	-	-	+	+	-	-
g͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
k	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
kʰ	-	+	+	-	-	.	-	+	+	-	-	+	-	-	-
g͡b	-	+	+	+	-	.	-	.	-	-	-	+	-	-	-
