GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
gǃx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǃʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
gʘ	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
gʘkx	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
gʘx	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
gʘʰ	-	+	+	+	-	-	-	+	-	-	+	+	-	-	-
gʰ	-	+	+	+	-	-	-	+	+	-	-	+	-	-	-
gʲ	-	+	+	+	-	-	-	.	+	+	-	+	-	-	-
gʷ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
gʷː	-	+	+	+	-	-	-	.	+	-	-	+	+	+	-
gː	-	+	+	+	-	-	-	.	+	-	-	+	-	+	-
gˤ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
ĝ	-	+	+	+	-	-	-	-	+	-	-	+	-	-	-
ĝ͡b̂	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-
g̥	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
g͡b	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
g͡bʲ	-	+	+	+	-	-	-	.	-	+	-	+	-	-	-
g͡bʷ	-	+	+	+	-	-	-	.	-	-	-	+	+	-	-
g͡p	-	+	+	.	-	-	-	.	-	-	-	+	-	-	-
g͡ɓ	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
h	-	-	-	-	-	-	-	+	.	-	.	.	-	-	-
hʲ	-	-	-	-	-	-	-	+	.	+	.	.	-	-	-
hʷ	-	-	-	-	-	-	-	+	.	-	.	.	+	-	-
hʷː	-	-	-	-	-	-	-	+	.	-	.	.	+	+	-
hˤ	-	-	-	-	-	-	-	+	.	-	.	.	+	-	-
h̃	-	-	-	-	-	+	-	+	.	-	.	.	-	-	-
i	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
ia	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ie	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
ij	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
iə	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
iɛ	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
iʔ	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
iʔi	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
iː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
iːː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	+
iˤ	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-
ĩ	+	-	-	+	-	+	-	+	-	-	+	-	-	-	-
ĩʔ	+	-	-	+	+	+	-	+	-	-	+	-	-	-	-
ĩʔĩ	+	-	-	+	+	+	-	+	-	-	+	-	-	-	-
ĩː	+	-	-	+	-	+	-	+	-	-	+	-	-	+	-
i̝	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
